== seeded
  k gain  median_per  locked(per>=.9,ent>=1)  flat(ent<0.5)  newly_locked_from_unlocked
  4    0  0.063   11    3    0
  4    1  0.063   11    3    0
  4    2  0.063   11    3    0
  4    4  0.063   11    3    0
  4    8  0.063   11    3    0
  4   32  0.063   11    3    0
  4  128  0.063   11    3    0
  8    0  0.063   11    3    0
  8    1  0.063   11    3    0
  8    2  0.063   11    3    0
  8    4  0.063   11    3    0
  8    8  0.063   11    3    0
  8   32  0.063   11    3    0
  8  128  0.063   11    3    0
 16    0  0.063   11    3    0
 16    1  0.063   11    3    0
 16    2  0.063   11    3    0
 16    4  0.063   11    3    0
 16    8  0.063   11    3    0
 16   32  0.063   11    3    0
 16  128  0.063   11    3    0
== auto
  k gain  median_per  locked(per>=.9,ent>=1)  flat(ent<0.5)  newly_locked_from_unlocked
  4    0  1.000   51    3    0
  4    1  1.000   51    3    0
  4    2  1.000   51    3    0
  4    4  1.000   51    3    0
  4    8  1.000   51    3    0
  4   32  1.000   51    3    0
  4  128  1.000   51    3    0
  8    0  1.000   51    3    0
  8    1  1.000   51    3    0
  8    2  1.000   51    3    0
  8    4  1.000   51    3    0
  8    8  1.000   51    3    0
  8   32  1.000   51    3    0
  8  128  1.000   51    3    0
 16    0  1.000   51    3    0
 16    1  1.000   51    3    0
 16    2  1.000   51    3    0
 16    4  1.000   51    3    0
 16    8  1.000   51    3    0
 16   32  1.000   51    3    0
 16  128  1.000   51    3    0
