hold-lv-vlo0.txt sense 10:   worst corner: 1.31 us
hold-lv-vlo0.txt sense 20:   worst corner: 842 ns
hold-lv2-vlo0.txt sense 10:   worst corner: 3.58 us
hold-lv2-vlo0.txt sense 20:   worst corner: 3.06 us
hold-lvhv-vlo0.txt sense 10:   worst corner: 0 (written wrong)
hold-lvhv-vlo0.txt sense 20:   worst corner: 0 (written wrong)
hold-hvlv-vlo0.txt sense 10:   worst corner: 0 (written wrong)
hold-hvlv-vlo0.txt sense 20:   worst corner: 0 (written wrong)
hold-hv-vlo0.txt sense 10:   worst corner: 0 (written wrong)
hold-hv-vlo0.txt sense 20:   worst corner: 261 us
hold-fb-vlo0.txt sense 10:   worst corner: 6.96 us
hold-fb-vlo0.txt sense 20:   worst corner: 2.28 us
hold-fb-vlo0-park.txt sense 10:   worst corner: 48.3 us
hold-fb-vlo0-park.txt sense 20:   worst corner: 6.49 us
hold-lv-park0.1.txt sense 10:   worst corner: 23 us
hold-lv-park0.1.txt sense 20:   worst corner: 26.6 us
hold-lv-park0.2.txt sense 10:   worst corner: 8.17 us
hold-lv-park0.2.txt sense 20:   worst corner: 1.79 us
hold-lv-park0.3.txt sense 10:   worst corner: 6.07 us
hold-lv-park0.3.txt sense 20:   worst corner: 1.53 us
hold-lv-park0.6.txt sense 10:   worst corner: 4.77 us
hold-lv-park0.6.txt sense 20:   worst corner: 1.22 us
hold-plvw-bar0.3.txt sense 10:   worst corner: 235 ns
hold-plvw-vhi0.9-bar0.3.txt sense 10:   worst corner: 119 us
hold-plvw-bar0.3.txt sense 20:   worst corner: 165 ns
hold-plvw-vhi0.9-bar0.3.txt sense 20:   worst corner: 77.4 us
