# 2026-09-25T11:08:13+08:00 run mc-base-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=2m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_ff_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 2m
seed     1 vw1 0.8216 vw0 -0.0399 L1 0.1806 H0 0.1321 t1 2.3532e-06 t0 3.1992e-06 life 2.3532e-06  rbl 1.044 0.968 0.860 0.733 0.616 0.519 0.434 0.357 0.285 0.216 0.150 0.087 0.035 0.008 0.001
seed     2 vw1 0.8178 vw0 -0.0403 L1 0.2149 H0 0.1653 t1 2.0091e-06 t0 7.4915e-06 life 2.0091e-06  rbl 1.118 1.079 1.016 0.917 0.779 0.650 0.551 0.465 0.388 0.316 0.247 0.181 0.117 0.059 0.018
seed     3 vw1 0.8519 vw0 -0.0315 L1 0.2078 H0 0.1573 t1 1.0800e-06 t0 3.0834e-06 life 1.0800e-06  rbl 1.107 1.061 0.989 0.877 0.734 0.617 0.525 0.444 0.370 0.299 0.232 0.167 0.105 0.049 0.014
seed     4 vw1 0.8346 vw0 -0.0372 L1 0.1859 H0 0.1348 t1 1.4546e-06 t0 1.9633e-06 life 1.4546e-06  rbl 1.053 0.980 0.874 0.745 0.631 0.536 0.453 0.376 0.305 0.236 0.169 0.105 0.049 0.013 0.002
seed     5 vw1 0.8568 vw0 -0.0321 L1 0.1894 H0 0.1419 t1 1.0602e-06 t0 1.7412e-06 life 1.0602e-06  rbl 1.062 0.996 0.901 0.783 0.660 0.553 0.461 0.380 0.306 0.235 0.168 0.103 0.046 0.012 0.002
seed     6 vw1 0.8869 vw0 -0.0267 L1 0.1944 H0 0.1488 t1 4.8820e-07 t0 8.8766e-07 life 4.8820e-07  rbl 1.066 1.004 0.919 0.815 0.694 0.577 0.478 0.392 0.314 0.241 0.172 0.105 0.047 0.012 0.002
seed     7 vw1 0.8478 vw0 -0.0337 L1 0.201 H0 0.1529 t1 1.2617e-06 t0 2.8685e-06 life 1.2617e-06  rbl 1.089 1.035 0.952 0.839 0.713 0.599 0.503 0.419 0.343 0.271 0.202 0.136 0.074 0.026 0.005
seed     8 vw1 0.8627 vw0 -0.0309 L1 0.2094 H0 0.1608 t1 8.2811e-07 t0 2.2273e-06 life 8.2811e-07  rbl 1.107 1.061 0.989 0.883 0.752 0.632 0.532 0.446 0.368 0.296 0.227 0.161 0.097 0.042 0.010
seed     9 vw1 0.8635 vw0 -0.0309 L1 0.1996 H0 0.1512 t1 8.6362e-07 t0 1.7729e-06 life 8.6362e-07  rbl 1.083 1.026 0.942 0.829 0.705 0.593 0.498 0.415 0.339 0.267 0.198 0.132 0.070 0.024 0.004
seed    10 vw1 0.8516 vw0 -0.0328 L1 0.203 H0 0.1544 t1 1.0350e-06 t0 2.4928e-06 life 1.0350e-06  rbl 1.093 1.040 0.959 0.847 0.720 0.606 0.510 0.426 0.350 0.278 0.210 0.144 0.081 0.031 0.007
