# 2026-09-25T11:08:13+08:00 run mc-base-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=5m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_tt_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 5m
seed     1 vw1 0.7470 vw0 -0.0683 L1 0.265 H0 0.2221 t1 1.4678e-05 t0 4.2310e-04 life 1.4678e-05  rbl 1.171 1.156 1.132 1.093 1.032 0.937 0.815 0.685 0.562 0.459 0.371 0.293 0.220 0.150 0.085
seed     2 vw1 0.7439 vw0 -0.0686 L1 0.2972 H0 0.2532 t1 1.1959e-05 t0 1.0518e-03 life 1.1959e-05  rbl 1.186 1.179 1.168 1.151 1.122 1.074 0.993 0.864 0.716 0.591 0.488 0.401 0.322 0.249 0.180
seed     3 vw1 0.7776 vw0 -0.0539 L1 0.2875 H0 0.2429 t1 6.7164e-06 t0 3.3883e-04 life 6.7164e-06  rbl 1.183 1.175 1.162 1.140 1.106 1.048 0.951 0.804 0.658 0.547 0.454 0.372 0.297 0.227 0.160
seed     4 vw1 0.7614 vw0 -0.0622 L1 0.2673 H0 0.2217 t1 8.3216e-06 t0 2.1064e-04 life 8.3216e-06  rbl 1.172 1.158 1.135 1.099 1.040 0.945 0.815 0.683 0.567 0.470 0.385 0.308 0.235 0.166 0.100
seed     5 vw1 0.7829 vw0 -0.0540 L1 0.2724 H0 0.2314 t1 6.5836e-06 t0 2.1291e-04 life 6.5836e-06  rbl 1.174 1.160 1.139 1.105 1.051 0.967 0.856 0.733 0.603 0.488 0.393 0.310 0.234 0.163 0.096
seed     6 vw1 0.8141 vw0 -0.0438 L1 0.2736 H0 0.2343 t1 2.9106e-06 t0 8.9003e-05 life 2.9106e-06  rbl 1.173 1.158 1.136 1.100 1.045 0.964 0.864 0.749 0.617 0.493 0.391 0.304 0.226 0.153 0.086
seed     7 vw1 0.7739 vw0 -0.0572 L1 0.2849 H0 0.2424 t1 7.4568e-06 t0 3.6016e-04 life 7.4568e-06  rbl 1.180 1.170 1.153 1.127 1.085 1.017 0.913 0.789 0.661 0.540 0.439 0.352 0.274 0.201 0.132
seed     8 vw1 0.7896 vw0 -0.0510 L1 0.2898 H0 0.2471 t1 4.7360e-06 t0 2.4619e-04 life 4.7360e-06  rbl 1.183 1.175 1.161 1.139 1.103 1.044 0.948 0.818 0.685 0.561 0.458 0.371 0.292 0.219 0.150
seed     9 vw1 0.7901 vw0 -0.0512 L1 0.2815 H0 0.2393 t1 5.1163e-06 t0 2.0085e-04 life 5.1163e-06  rbl 1.178 1.167 1.149 1.121 1.075 1.002 0.895 0.774 0.645 0.526 0.427 0.342 0.264 0.192 0.123
seed    10 vw1 0.7780 vw0 -0.0550 L1 0.2854 H0 0.2427 t1 6.3279e-06 t0 3.0540e-04 life 6.3279e-06  rbl 1.180 1.170 1.154 1.129 1.088 1.020 0.917 0.792 0.663 0.542 0.442 0.356 0.278 0.206 0.137
seed    11 vw1 0.7736 vw0 -0.0575 L1 0.2438 H0 0.2017 t1 7.7268e-06 t0 9.9994e-05 life 7.7268e-06  rbl 1.153 1.128 1.089 1.028 0.941 0.832 0.709 0.581 0.473 0.382 0.300 0.225 0.154 0.087 0.033
seed    12 vw1 0.7740 vw0 -0.0571 L1 0.2501 H0 0.2089 t1 8.7046e-06 t0 1.4348e-04 life 8.7046e-06  rbl 1.159 1.138 1.104 1.052 0.973 0.867 0.747 0.616 0.500 0.405 0.321 0.246 0.175 0.108 0.049
