# 2026-09-25T11:19:00+08:00 run mc-ls-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed     1 vw1 0.8204 vw0 0.1963 L1 0.3295 H0 0.2786 t1 1.4820e-03 t0 2.1659e-04 life 2.1659e-04 t0park inf lifepark 1.4820e-03  rbl 1.105 1.064 1.007 0.930 0.831 0.716 0.607 0.515 0.433 0.359 0.289 0.223 0.162 0.119 0.103 0.100 0.100 0.100 0.100
seed     2 vw1 0.8164 vw0 0.1935 L1 0.3634 H0 0.31 t1 1.2139e-03 t0 9.3754e-04 life 9.3754e-04 t0park inf lifepark 1.2139e-03  rbl 1.139 1.112 1.073 1.020 0.948 0.854 0.743 0.636 0.544 0.463 0.389 0.319 0.253 0.190 0.137 0.109 0.101 0.100 0.100
seed     3 vw1 0.8507 vw0 0.1979 L1 0.354 H0 0.2988 t1 1.0911e-03 t0 1.7244e-04 life 1.7244e-04 t0park inf lifepark 1.0911e-03  rbl 1.126 1.094 1.049 0.988 0.907 0.805 0.695 0.597 0.512 0.436 0.365 0.298 0.233 0.173 0.127 0.105 0.101 0.100 0.100
seed     4 vw1 0.8334 vw0 0.1911 L1 0.3328 H0 0.2783 t1 1.2510e-03 t0 1.0568e-04 life 1.0568e-04 t0park inf lifepark 1.2510e-03  rbl 1.101 1.059 1.001 0.923 0.824 0.713 0.612 0.525 0.446 0.373 0.304 0.237 0.175 0.127 0.106 0.101 0.100 0.100 0.100
seed     5 vw1 0.8557 vw0 0.1967 L1 0.3363 H0 0.2877 t1 1.1320e-03 t0 1.0695e-04 life 1.0695e-04 t0park inf lifepark 1.1320e-03  rbl 1.117 1.081 1.031 0.962 0.871 0.760 0.642 0.539 0.452 0.375 0.302 0.234 0.171 0.124 0.105 0.101 0.100 0.100 0.100
seed     6 vw1 0.8859 vw0 0.1937 L1 0.336 H0 0.29 t1 7.8377e-04 t0 4.5110e-05 life 4.5110e-05 t0park inf lifepark 7.8377e-04  rbl 1.121 1.086 1.037 0.970 0.882 0.773 0.651 0.541 0.448 0.367 0.292 0.223 0.161 0.118 0.103 0.100 0.100 0.100 0.100
seed     7 vw1 0.8466 vw0 0.1963 L1 0.3487 H0 0.2988 t1 1.1237e-03 t0 1.9208e-04 life 1.9208e-04 t0park inf lifepark 1.1237e-03  rbl 1.129 1.098 1.054 0.993 0.912 0.810 0.694 0.587 0.495 0.414 0.340 0.271 0.205 0.147 0.113 0.102 0.100 0.100 0.100
seed     8 vw1 0.8616 vw0 0.1926 L1 0.3543 H0 0.3038 t1 9.4516e-04 t0 1.3405e-04 life 1.3405e-04 t0park inf lifepark 9.4516e-04  rbl 1.134 1.105 1.064 1.008 0.931 0.832 0.717 0.607 0.514 0.433 0.359 0.289 0.223 0.162 0.120 0.103 0.100 0.100 0.100
seed     9 vw1 0.8624 vw0 0.1942 L1 0.3454 H0 0.2955 t1 9.8590e-04 t0 1.0422e-04 life 1.0422e-04 t0park inf lifepark 9.8590e-04  rbl 1.126 1.093 1.047 0.984 0.900 0.796 0.679 0.573 0.483 0.404 0.330 0.261 0.196 0.141 0.110 0.101 0.100 0.100 0.100
seed    10 vw1 0.8505 vw0 0.1941 L1 0.3496 H0 0.2992 t1 1.0756e-03 t0 1.6386e-04 life 1.6386e-04 t0park inf lifepark 1.0756e-03  rbl 1.129 1.098 1.055 0.995 0.914 0.812 0.696 0.589 0.499 0.418 0.345 0.276 0.210 0.152 0.115 0.102 0.100 0.100 0.100
