# 2026-09-25T11:21:01+08:00 run mc-ls-ss27: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.35:0.80:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8], TSTOP 50m
seed     1 vw1 0.5923 vw0 0.1495 L1 0.5493 H0 0.5159 t1 3.7761e-03 t0 inf life 3.7761e-03 t0park inf lifepark 3.7761e-03  rbl 1.179 1.162 1.132 1.083 1.008 0.910 0.791 0.648 0.496 0.377 0.283 0.201 0.135 0.105 0.100 0.100 0.100 0.100 0.100
seed     2 vw1 0.5849 vw0 0.1481 L1 0.5796 H0 0.5448 t1 7.1417e-06 t0 inf life 7.1417e-06 t0park inf lifepark 7.1417e-06  rbl 1.191 1.182 1.167 1.141 1.097 1.026 0.926 0.810 0.671 0.522 0.404 0.310 0.229 0.157 0.113 0.101 0.100 0.100 0.100
seed     3 vw1 0.6243 vw0 0.1676 L1 0.5688 H0 0.5329 t1 4.2621e-03 t0 inf life 4.2621e-03 t0park inf lifepark 4.2621e-03  rbl 1.186 1.174 1.154 1.121 1.067 0.982 0.873 0.746 0.599 0.467 0.366 0.280 0.204 0.139 0.107 0.101 0.100 0.100 0.100
seed     4 vw1 0.6114 vw0 0.1550 L1 0.5479 H0 0.5124 t1 5.2420e-03 t0 inf life 5.2420e-03 t0park inf lifepark 5.2420e-03  rbl 1.175 1.156 1.124 1.072 0.993 0.892 0.771 0.627 0.488 0.380 0.291 0.211 0.143 0.108 0.101 0.100 0.100 0.100 0.100
seed     5 vw1 0.6337 vw0 0.1679 L1 0.5593 H0 0.5262 t1 5.5578e-03 t0 inf life 5.5578e-03 t0park inf lifepark 5.5578e-03  rbl 1.184 1.170 1.146 1.104 1.038 0.949 0.841 0.707 0.552 0.412 0.306 0.218 0.145 0.108 0.101 0.100 0.100 0.100 0.100
seed     6 vw1 0.6701 vw0 0.1795 L1 0.5608 H0 0.5282 t1 7.0942e-03 t0 inf life 7.0942e-03 t0park inf lifepark 7.0942e-03  rbl 1.185 1.171 1.146 1.104 1.039 0.955 0.850 0.720 0.566 0.414 0.298 0.206 0.135 0.105 0.100 0.100 0.100 0.100 0.100
seed     7 vw1 0.6219 vw0 0.1634 L1 0.5702 H0 0.5364 t1 3.8889e-03 t0 inf life 3.8889e-03 t0park inf lifepark 3.8889e-03  rbl 1.188 1.177 1.157 1.124 1.069 0.987 0.888 0.767 0.621 0.471 0.355 0.262 0.181 0.123 0.103 0.100 0.100 0.100 0.100
seed     8 vw1 0.6403 vw0 0.1702 L1 0.5731 H0 0.5396 t1 4.7959e-03 t0 inf life 4.7959e-03 t0park inf lifepark 4.7959e-03  rbl 1.190 1.180 1.163 1.133 1.083 1.005 0.904 0.784 0.640 0.488 0.372 0.278 0.198 0.133 0.105 0.100 0.100 0.100 0.100
seed     9 vw1 0.6419 vw0 0.1706 L1 0.5668 H0 0.533 t1 5.3588e-03 t0 inf life 5.3588e-03 t0park inf lifepark 5.3588e-03  rbl 1.187 1.175 1.154 1.118 1.058 0.974 0.872 0.748 0.599 0.452 0.340 0.248 0.170 0.117 0.102 0.100 0.100 0.100 0.100
seed    10 vw1 0.6273 vw0 0.1654 L1 0.5696 H0 0.5358 t1 4.3014e-03 t0 inf life 4.3014e-03 t0park inf lifepark 4.3014e-03  rbl 1.188 1.177 1.157 1.124 1.069 0.987 0.886 0.763 0.616 0.468 0.354 0.263 0.183 0.124 0.103 0.100 0.100 0.100 0.100
seed    11 vw1 0.6261 vw0 0.1614 L1 0.528 H0 0.4946 t1 7.9777e-03 t0 inf life 7.9777e-03 t0park inf lifepark 7.9777e-03  rbl 1.162 1.134 1.086 1.015 0.923 0.809 0.670 0.515 0.389 0.290 0.205 0.136 0.106 0.100 0.100 0.100 0.100 0.100 0.100
seed    12 vw1 0.6252 vw0 0.1646 L1 0.5365 H0 0.5031 t1 7.3207e-03 t0 inf life 7.3207e-03 t0park inf lifepark 7.3207e-03  rbl 1.170 1.146 1.107 1.044 0.957 0.850 0.719 0.565 0.424 0.317 0.229 0.155 0.111 0.101 0.100 0.100 0.100 0.100 0.100
seed    13 vw1 0.6360 vw0 0.1679 L1 0.5929 H0 0.558 t1 2.8943e-03 t0 inf life 2.8943e-03 t0park inf lifepark 2.8943e-03  rbl 1.194 1.187 1.176 1.156 1.122 1.064 0.977 0.872 0.747 0.600 0.461 0.353 0.264 0.185 0.126 0.104 0.100 0.100 0.100
seed    14 vw1 0.5677 vw0 0.1381 L1 0.5686 H0 0.5331 t1 0.0000e+00 t0 inf life 0.0000e+00 t0park inf lifepark 0.0000e+00  rbl 1.187 1.175 1.155 1.122 1.066 0.981 0.873 0.748 0.600 0.466 0.362 0.275 0.197 0.133 0.105 0.100 0.100 0.100 0.100
seed    15 vw1 0.6411 vw0 0.1724 L1 0.5573 H0 0.5222 t1 6.2395e-03 t0 inf life 6.2395e-03 t0park inf lifepark 6.2395e-03  rbl 1.182 1.167 1.142 1.101 1.033 0.937 0.822 0.685 0.535 0.415 0.320 0.238 0.164 0.115 0.102 0.100 0.100 0.100 0.100
seed    16 vw1 0.6391 vw0 0.1725 L1 0.5577 H0 0.5242 t1 6.1131e-03 t0 inf life 6.1131e-03 t0park inf lifepark 6.1131e-03  rbl 1.183 1.168 1.142 1.099 1.031 0.940 0.830 0.695 0.541 0.408 0.306 0.221 0.148 0.109 0.101 0.100 0.100 0.100 0.100
