# 2026-09-25T11:19:00+08:00 run mc-ls-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_tt_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed     1 vw1 0.7449 vw0 0.1891 L1 0.4155 H0 0.3714 t1 3.4749e-03 t0 inf life 3.4749e-03 t0park inf lifepark 3.4749e-03  rbl 1.180 1.170 1.156 1.134 1.102 1.056 0.993 0.909 0.805 0.682 0.562 0.462 0.377 0.300 0.229 0.164 0.120 0.103 0.100
seed     2 vw1 0.7414 vw0 0.1875 L1 0.4477 H0 0.4019 t1 2.8870e-03 t0 inf life 2.8870e-03 t0park inf lifepark 2.8870e-03  rbl 1.188 1.182 1.173 1.159 1.139 1.109 1.067 1.006 0.927 0.827 0.709 0.590 0.491 0.406 0.329 0.258 0.192 0.137 0.108
seed     3 vw1 0.7756 vw0 0.1955 L1 0.438 H0 0.3903 t1 3.0083e-03 t0 inf life 3.0083e-03 t0park inf lifepark 3.0083e-03  rbl 1.184 1.177 1.166 1.149 1.125 1.090 1.039 0.971 0.882 0.774 0.654 0.547 0.457 0.377 0.304 0.236 0.173 0.125 0.105
seed     4 vw1 0.7594 vw0 0.1864 L1 0.4172 H0 0.37 t1 3.2713e-03 t0 inf life 3.2713e-03 t0park inf lifepark 3.2713e-03  rbl 1.178 1.168 1.152 1.129 1.096 1.049 0.984 0.900 0.795 0.676 0.565 0.471 0.388 0.313 0.242 0.177 0.127 0.106 0.101
seed     5 vw1 0.7811 vw0 0.1937 L1 0.4229 H0 0.381 t1 3.1254e-03 t0 inf life 3.1254e-03 t0park inf lifepark 3.1254e-03  rbl 1.183 1.175 1.162 1.144 1.116 1.076 1.019 0.943 0.847 0.731 0.603 0.490 0.398 0.316 0.242 0.175 0.125 0.105 0.100
seed     6 vw1 0.8125 vw0 0.1927 L1 0.4236 H0 0.3836 t1 2.6264e-03 t0 inf life 2.6264e-03 t0park inf lifepark 2.6264e-03  rbl 1.185 1.177 1.164 1.146 1.119 1.080 1.024 0.951 0.858 0.745 0.615 0.493 0.393 0.308 0.232 0.164 0.119 0.103 0.100
seed     7 vw1 0.7720 vw0 0.1930 L1 0.4355 H0 0.392 t1 2.9762e-03 t0 inf life 2.9762e-03 t0park inf lifepark 2.9762e-03  rbl 1.186 1.179 1.168 1.152 1.129 1.094 1.045 0.977 0.890 0.784 0.660 0.541 0.443 0.358 0.281 0.210 0.149 0.113 0.102
seed     8 vw1 0.7876 vw0 0.1915 L1 0.44 H0 0.396 t1 2.7773e-03 t0 inf life 2.7773e-03 t0park inf lifepark 2.7773e-03  rbl 1.187 1.181 1.171 1.156 1.134 1.102 1.056 0.991 0.907 0.803 0.680 0.560 0.460 0.375 0.298 0.227 0.164 0.119 0.103
seed     9 vw1 0.7883 vw0 0.1924 L1 0.4318 H0 0.3886 t1 2.8758e-03 t0 inf life 2.8758e-03 t0park inf lifepark 2.8758e-03  rbl 1.186 1.178 1.167 1.150 1.125 1.088 1.037 0.967 0.877 0.768 0.643 0.526 0.430 0.346 0.270 0.200 0.142 0.110 0.101
seed    10 vw1 0.7760 vw0 0.1917 L1 0.4359 H0 0.392 t1 2.9480e-03 t0 inf life 2.9480e-03 t0park inf lifepark 2.9480e-03  rbl 1.186 1.179 1.168 1.152 1.129 1.094 1.045 0.978 0.891 0.784 0.660 0.542 0.445 0.361 0.285 0.215 0.153 0.115 0.102
seed    11 vw1 0.7719 vw0 0.1899 L1 0.3938 H0 0.3507 t1 3.5923e-03 t0 inf life 3.5923e-03 t0park inf lifepark 3.5923e-03  rbl 1.172 1.158 1.137 1.107 1.064 1.003 0.923 0.823 0.704 0.579 0.474 0.385 0.305 0.232 0.166 0.120 0.103 0.100 0.100
seed    12 vw1 0.7723 vw0 0.1949 L1 0.4009 H0 0.3587 t1 3.6335e-03 t0 inf life 3.6335e-03 t0park inf lifepark 3.6335e-03  rbl 1.175 1.163 1.145 1.118 1.080 1.025 0.952 0.858 0.744 0.617 0.503 0.410 0.328 0.254 0.186 0.132 0.107 0.101 0.100
seed    13 vw1 0.7855 vw0 0.1896 L1 0.4594 H0 0.414 t1 2.4681e-03 t0 inf life 2.4681e-03 t0park inf lifepark 2.4681e-03  rbl 1.190 1.185 1.178 1.167 1.150 1.125 1.089 1.037 0.967 0.877 0.768 0.646 0.535 0.442 0.360 0.286 0.216 0.154 0.115
seed    14 vw1 0.7247 vw0 0.1812 L1 0.4364 H0 0.3895 t1 3.0526e-03 t0 inf life 3.0526e-03 t0park inf lifepark 3.0526e-03  rbl 1.185 1.178 1.166 1.150 1.125 1.089 1.039 0.969 0.880 0.770 0.649 0.541 0.450 0.370 0.296 0.227 0.164 0.120 0.103
seed    15 vw1 0.7895 vw0 0.1952 L1 0.4239 H0 0.3779 t1 3.0444e-03 t0 inf life 3.0444e-03 t0park inf lifepark 3.0444e-03  rbl 1.182 1.173 1.159 1.140 1.111 1.069 1.010 0.931 0.832 0.714 0.595 0.495 0.410 0.333 0.262 0.195 0.139 0.109 0.101
seed    16 vw1 0.7871 vw0 0.1962 L1 0.423 H0 0.3801 t1 3.1020e-03 t0 inf life 3.1020e-03 t0park inf lifepark 3.1020e-03  rbl 1.183 1.174 1.161 1.142 1.113 1.072 1.015 0.938 0.842 0.726 0.600 0.491 0.400 0.320 0.247 0.180 0.128 0.106 0.101
