# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s101: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   101 vw1 0.8586 vw0 0.1899 L1 0.4351 H0 0.3836 t1 7.3051e-04 t0 inf life 7.3051e-04 t0park inf lifepark 7.3051e-04  rbl 1.161 1.142 1.115 1.075 1.018 0.943 0.849 0.738 0.628 0.533 0.451 0.376 0.306 0.240 0.186 0.158 0.151 0.150 0.150
seed   102 vw1 0.8386 vw0 0.1929 L1 0.3879 H0 0.3353 t1 1.0648e-03 t0 inf life 1.0648e-03 t0park inf lifepark 1.0648e-03  rbl 1.116 1.077 1.023 0.950 0.856 0.745 0.636 0.542 0.460 0.386 0.316 0.250 0.194 0.161 0.152 0.150 0.150 0.150 0.150
seed   103 vw1 0.8186 vw0 0.1930 L1 0.4018 H0 0.3496 t1 1.1081e-03 t0 inf life 1.1081e-03 t0park inf lifepark 1.1081e-03  rbl 1.132 1.101 1.056 0.994 0.913 0.812 0.698 0.594 0.506 0.427 0.354 0.286 0.222 0.175 0.155 0.151 0.150 0.150 0.150
seed   104 vw1 0.8646 vw0 0.1919 L1 0.4256 H0 0.3769 t1 7.1355e-04 t0 inf life 7.1355e-04 t0park inf lifepark 7.1355e-04  rbl 1.158 1.137 1.107 1.063 1.003 0.923 0.824 0.709 0.597 0.502 0.420 0.344 0.275 0.212 0.169 0.153 0.150 0.150 0.150
seed   105 vw1 0.8285 vw0 0.1921 L1 0.3981 H0 0.348 t1 1.0393e-03 t0 inf life 1.0393e-03 t0park inf lifepark 1.0393e-03  rbl 1.131 1.099 1.053 0.990 0.907 0.806 0.691 0.584 0.493 0.413 0.339 0.270 0.208 0.167 0.153 0.150 0.150 0.150 0.150
seed   106 vw1 0.8571 vw0 0.1890 L1 0.4178 H0 0.3675 t1 8.0210e-04 t0 inf life 8.0210e-04 t0park inf lifepark 8.0210e-04  rbl 1.151 1.128 1.093 1.044 0.976 0.889 0.782 0.665 0.562 0.475 0.396 0.324 0.256 0.197 0.162 0.152 0.150 0.150 0.150
seed   107 vw1 0.8221 vw0 0.1870 L1 0.4143 H0 0.3642 t1 9.4458e-04 t0 inf life 9.4458e-04 t0park inf lifepark 9.4458e-04  rbl 1.149 1.124 1.088 1.036 0.966 0.876 0.766 0.650 0.549 0.463 0.386 0.315 0.249 0.192 0.160 0.151 0.150 0.150 0.150
seed   108 vw1 0.7998 vw0 0.1899 L1 0.388 H0 0.3381 t1 1.2292e-03 t0 inf life 1.2292e-03 t0park inf lifepark 1.2292e-03  rbl 1.119 1.082 1.030 0.959 0.869 0.760 0.645 0.545 0.458 0.381 0.309 0.242 0.187 0.158 0.151 0.150 0.150 0.150 0.150
seed   109 vw1 0.8469 vw0 0.1935 L1 0.4084 H0 0.3559 t1 9.3917e-04 t0 inf life 9.3917e-04 t0park inf lifepark 9.3917e-04  rbl 1.139 1.110 1.069 1.012 0.935 0.838 0.725 0.618 0.527 0.447 0.373 0.304 0.239 0.186 0.158 0.151 0.150 0.150 0.150
seed   110 vw1 0.8091 vw0 0.1926 L1 0.3944 H0 0.3421 t1 1.1803e-03 t0 inf life 1.1803e-03 t0park inf lifepark 1.1803e-03  rbl 1.124 1.089 1.039 0.971 0.884 0.777 0.664 0.566 0.481 0.404 0.333 0.266 0.206 0.166 0.153 0.150 0.150 0.150 0.150
