# 2026-09-25T11:44:16+08:00 run mc-track-ss27-s101: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.0 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   101 vw1 0.6470 vw0 0.1689 L1 0.4293 H0 0.3958 t1 1.7037e-02 t0 inf life 1.7037e-02 t0park inf lifepark 1.7037e-02  rbl 1.183 1.172 1.154 1.126 1.083 1.021 0.932 0.816 0.676 0.522 0.395 0.296 0.211 0.134 0.063 0.015 0.002 0.000 0.000
seed   102 vw1 0.6255 vw0 0.1593 L1 0.381 H0 0.3472 t1 2.3686e-02 t0 inf life 2.3686e-02 t0park inf lifepark 2.3686e-02  rbl 1.153 1.124 1.082 1.021 0.936 0.824 0.684 0.530 0.404 0.306 0.222 0.145 0.074 0.021 0.003 0.000 0.000 0.000 0.000
seed   103 vw1 0.6059 vw0 0.1485 L1 0.3957 H0 0.3618 t1 1.9850e-02 t0 inf life 1.9850e-02 t0park inf lifepark 1.9850e-02  rbl 1.165 1.142 1.109 1.059 0.989 0.892 0.769 0.622 0.475 0.361 0.269 0.187 0.112 0.045 0.009 0.001 0.000 0.000 0.000
seed   104 vw1 0.6528 vw0 0.1721 L1 0.4228 H0 0.3901 t1 1.7694e-02 t0 inf life 1.7694e-02 t0park inf lifepark 1.7694e-02  rbl 1.182 1.169 1.149 1.118 1.071 1.002 0.907 0.787 0.643 0.486 0.361 0.263 0.178 0.101 0.036 0.006 0.000 0.000 0.000
seed   105 vw1 0.6157 vw0 0.1536 L1 0.3941 H0 0.3606 t1 2.0673e-02 t0 inf life 2.0673e-02 t0park inf lifepark 2.0673e-02  rbl 1.164 1.141 1.107 1.056 0.984 0.886 0.763 0.615 0.464 0.348 0.254 0.171 0.095 0.032 0.005 0.000 0.000 0.000 0.000
seed   106 vw1 0.6461 vw0 0.1671 L1 0.4143 H0 0.3811 t1 1.8553e-02 t0 inf life 1.8553e-02 t0park inf lifepark 1.8553e-02  rbl 1.178 1.164 1.140 1.104 1.050 0.973 0.868 0.737 0.583 0.438 0.328 0.237 0.157 0.082 0.024 0.003 0.000 0.000 0.000
seed   107 vw1 0.6118 vw0 0.1491 L1 0.41 H0 0.3772 t1 1.8615e-02 t0 inf life 1.8615e-02 t0park inf lifepark 1.8615e-02  rbl 1.176 1.160 1.135 1.097 1.040 0.958 0.849 0.714 0.556 0.416 0.310 0.222 0.143 0.071 0.019 0.002 0.000 0.000 0.000
seed   108 vw1 0.5859 vw0 0.1377 L1 0.3838 H0 0.3506 t1 2.1042e-02 t0 inf life 2.1042e-02 t0park inf lifepark 2.1042e-02  rbl 1.155 1.127 1.086 1.028 0.946 0.837 0.704 0.549 0.411 0.305 0.216 0.136 0.064 0.016 0.002 0.000 0.000 0.000 0.000
seed   109 vw1 0.6320 vw0 0.1643 L1 0.4015 H0 0.368 t1 2.0776e-02 t0 inf life 2.0776e-02 t0park inf lifepark 2.0776e-02  rbl 1.170 1.151 1.121 1.076 1.012 0.922 0.803 0.660 0.507 0.387 0.292 0.209 0.133 0.063 0.015 0.002 0.000 0.000 0.000
seed   110 vw1 0.5943 vw0 0.1443 L1 0.3885 H0 0.3545 t1 2.1363e-02 t0 inf life 2.1363e-02 t0park inf lifepark 2.1363e-02  rbl 1.159 1.134 1.096 1.041 0.963 0.859 0.727 0.574 0.437 0.332 0.244 0.165 0.091 0.031 0.005 0.000 0.000 0.000 0.000
