fix,mode,d_cm,bearing_deg,rel_deg,trend,closing_cm_per_5s,period_ms,gain_l,gain_r,held
0,nofix,,,,,,,,,
1,nofix,,,,,,,,,
2,nofix,,,,,,,,,
3,beep,46002,123.673,178.06,0,0,1539,9000,9000,0
4,beep,46157,123.691,177.54,0,0,1539,9000,9000,0
5,beep,46383,123.593,171.26,0,0,1539,9000,9000,0
6,beep,46453,123.799,177.70,0,0,1539,9000,9000,0
7,beep,46695,123.822,177.89,0,0,1539,9000,9000,0
8,beep,46722,123.723,169.17,-1,-426,1539,9000,9000,0
9,beep,47003,123.670,167.30,-1,-531,1539,9000,9000,0
10,beep,47125,123.712,171.28,-1,-584,1539,9000,9000,0
11,beep,47262,123.614,175.28,-1,-640,1539,9000,9000,0
12,beep,47476,123.791,175.76,-1,-676,1539,9000,9000,0
13,beep,47571,123.763,176.36,-1,-719,1539,9000,9000,0
14,beep,47754,123.922,180.05,-1,-727,1539,9000,9000,0
15,beep,47878,123.757,172.11,-1,-734,1539,9000,9000,0
16,beep,48002,123.854,178.40,-1,-735,1539,9000,9000,0
17,beep,48159,123.824,167.32,-1,-722,1539,9000,9000,0
18,beep,48193,123.807,173.39,-1,-697,1539,9000,9000,0
19,beep,48339,123.839,173.83,-1,-669,1539,9000,9000,0
20,beep,48401,123.850,176.14,-1,-633,1539,9000,9000,0
21,beep,48520,123.834,168.09,-1,-604,1539,9000,9000,0
22,beep,48720,123.833,167.69,-1,-594,1539,9000,9000,0
23,beep,48690,123.817,168.83,-1,-570,1539,9000,9000,0
24,beep,49073,123.816,173.37,-1,-611,1539,9000,9000,0
25,beep,49066,124.021,175.41,-1,-624,1539,9000,9000,0
26,beep,49186,124.040,178.20,-1,-635,1830,9000,9000,0
27,beep,49314,123.948,168.33,-1,-625,1830,9000,9000,0
28,beep,49395,123.944,176.34,-1,-645,1830,9000,9000,0
29,beep,49547,124.087,169.10,-1,-602,1830,9000,9000,0
30,beep,49650,123.999,179.36,-1,-598,1830,9000,9000,0
31,beep,49788,124.158,167.33,-1,-599,1830,9000,9000,0
32,beep,49819,124.162,161.75,-1,-576,1830,9000,9000,0
33,beep,49967,124.331,184.89,-1,-575,1830,9000,9000,0
34,beep,50019,124.321,175.07,-1,-549,1830,9000,9000,0
35,beep,50222,124.374,162.92,-1,-555,1830,9000,9000,0
36,beep,50337,124.480,178.95,-1,-554,1830,9000,9000,0
37,beep,50480,124.288,173.95,-1,-581,1830,9000,9000,0
38,beep,50640,124.333,169.65,-1,-604,1830,9000,9000,0
39,beep,50801,124.176,178.76,-1,-649,1830,9000,9000,0
40,beep,50940,124.286,175.99,-1,-666,1830,9000,9000,0
41,beep,51050,124.237,172.44,-1,-678,1830,9000,9000,0
42,beep,51208,124.304,164.31,-1,-690,1830,9000,9000,0
43,beep,51310,124.338,179.29,-1,-685,1830,9000,9000,0
44,beep,51411,124.441,174.65,-1,-667,1830,9000,9000,0
45,beep,51425,124.310,181.46,-1,-621,1830,9000,9000,0
46,beep,51598,124.450,173.61,-1,-603,1830,9000,9000,0
47,beep,51626,124.423,168.81,-1,-557,1830,9000,9000,0
48,beep,51668,124.358,177.67,-1,-507,1830,9000,9000,0
49,beep,51924,124.434,179.58,-1,-509,1830,9000,9000,0
50,beep,52098,124.530,179.69,-1,-550,1830,9000,9000,0
51,beep,52194,124.592,175.58,-1,-562,1830,9000,9000,0
52,beep,52314,124.580,172.04,-1,-593,1830,9000,9000,0
53,beep,52408,124.654,172.70,-1,-630,1830,9000,9000,0
54,beep,52617,124.642,169.04,-1,-646,1830,9000,9000,0
