i,utc_s,fix,true_lat,true_lon,rep_lat,rep_lon,nmea_lat,nmea_lon,knots,cog,corrupted
0,36900,False,1.346368720,103.816576735,1.346369910,103.816577773,0120.78219N,10348.99467E,2.759236300,314.799757798,False
1,36901,False,1.346376530,103.816568004,1.346393755,103.816585654,0120.78363N,10348.99514E,2.576263295,311.058657947,False
2,36902,False,1.346384341,103.816559273,1.346393089,103.816560947,0120.78359N,10348.99366E,2.264468786,306.733603777,False
3,36903,True,1.346392152,103.816550543,1.346406680,103.816559946,0120.78440N,10348.99360E,2.275109071,305.613805122,False
4,36904,True,1.346399962,103.816541812,1.346415510,103.816549235,0120.78493N,10348.99295E,2.460085791,306.151405125,False
5,36905,True,1.346407773,103.816533081,1.346420810,103.816528267,0120.78525N,10348.99170E,2.289289606,312.329626201,False
6,36906,True,1.346415584,103.816524350,1.346436971,103.816531396,0120.78622N,10348.99188E,2.661755007,306.102938822,False
7,36907,True,1.346423395,103.816515620,1.346450479,103.816514237,0120.78703N,10348.99085E,2.596709104,305.932446904,False
8,36908,True,1.346431205,103.816506889,1.346445762,103.816508159,0120.78675N,10348.99049E,2.698258687,314.549627054,False
9,36909,True,1.346439016,103.816498158,1.346456674,103.816485022,0120.78740N,10348.98910E,2.927451980,316.369051839,False
10,36910,True,1.346446827,103.816489428,1.346465350,103.816477592,0120.78792N,10348.98866E,2.865767056,312.432560975,False
11,36911,True,1.346454638,103.816480697,1.346466089,103.816463398,0120.78797N,10348.98780E,2.505913733,308.330088127,False
12,36912,True,1.346462448,103.816471966,1.346488058,103.816454697,0120.78928N,10348.98728E,2.415346489,308.027459623,False
13,36913,True,1.346470259,103.816463235,1.346491077,103.816446289,0120.78946N,10348.98678E,2.547963065,307.400333810,False
14,36914,True,1.346478070,103.816454505,1.346510155,103.816439314,0120.79061N,10348.98636E,2.715140951,303.866966042,False
15,36915,True,1.346485881,103.816445774,1.346506077,103.816423093,0120.79036N,10348.98539E,2.365917336,311.650358386,False
16,36916,True,1.346493691,103.816437043,1.346518346,103.816418077,0120.79110N,10348.98508E,2.363237087,305.445927752,False
17,36917,True,1.346501502,103.816428313,1.346524265,103.816404948,0120.79146N,10348.98430E,2.717603372,316.500418139,False
18,36918,True,1.346509313,103.816419582,1.346525079,103.816401766,0120.79150N,10348.98411E,2.393707101,310.418700394,False
19,36919,True,1.346517124,103.816410851,1.346534346,103.816392113,0120.79206N,10348.98353E,2.659500177,310.009658202,False
20,36920,True,1.346524934,103.816402120,1.346538089,103.816388000,0120.79229N,10348.98328E,2.294978405,307.712594827,False
21,36921,True,1.346532745,103.816393390,1.346543227,103.816378509,0120.79259N,10348.98271E,2.371156068,315.741448087,False
22,36922,True,1.346540556,103.816384659,1.346553224,103.816363581,0120.79319N,10348.98181E,2.496342221,316.141087346,False
23,36923,True,1.346548367,103.816375928,1.346550684,103.816365071,0120.79304N,10348.98190E,2.613905920,314.990928729,False
24,36924,True,1.346556177,103.816367197,1.346569913,103.816336557,0120.79419N,10348.98019E,2.284701299,310.450498167,False
25,36925,True,1.346563988,103.816358467,1.346582722,103.816345900,0120.79496N,10348.98075E,2.615611534,308.607633442,False
26,36926,True,1.346571799,103.816349736,1.346590042,103.816337728,0120.79540N,10348.98026E,2.291267266,305.841826056,False
27,36927,True,1.346579609,103.816341005,1.346590477,103.816324237,0120.79543N,10348.97945E,2.509474168,315.621717726,False
