baud error sweep, 60 bytes back to back, 4 start-phase offsets each
     ppm  bad_bytes         of
  -60000        240        240
  -50000          0        240
  -45000          0        240
  -40000          0        240
  -30000          0        240
  -20000          0        240
  -10000          0        240
       0          0        240
   10000          0        240
   20000          0        240
   30000          0        240
   40000          0        240
   45000          0        240
   50000          0        240
   60000        240        240
