2026-09-25 04:20:51 +0000: Memory Usage (415916K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/in.gds
2026-09-25 04:20:51 +0000: Memory Usage (415916K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : Loading database to memory is complete.
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : IHP-SG13G2 KLayout DRC runset output at: /work/report.lyrdb
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : Evaluate switches.
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : tables selected: main
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : deep mode is enabled.
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : FEOL enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : BEOL enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : OFFGRID enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : PIN enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : FORBIDDEN enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : RECOMMENDED enabled: true
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : PreCheck DRC enabled: false
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:20:51 +0000: Memory Usage (417008K) : Read in polygons from layers.
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_drw has 168 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_pin has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_mask has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_filler has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_nofill has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_opc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_iopc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : activ_noqrc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : biwind_drw has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : biwind_opc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : pemwind_drw has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_drw has 160 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_pin has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_filler has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_nofill has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_opc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_iopc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : cont_drw has 248 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : cont_opc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : nsd_drw has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : nsd_block has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_drw has 248 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_pin has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_mask has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_filler has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_nofill has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_slit has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_text has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_opc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_noqrc has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_res has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_iprobe has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418288K) : metal1_diffprb has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : passiv_drw has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : passiv_pin has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : passiv_sbump has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : passiv_pillar has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : passiv_pdl has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : metal2_drw has 152 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : metal2_pin has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : metal2_mask has 0 polygons
2026-09-25 04:20:51 +0000: Memory Usage (418544K) : metal2_filler has 0 polygons
