25-Sep-2026 04:19:28 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:19:28 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:19:28 | INFO    | Running IHP-SG13G2 main checks on design /work/6t-pdk-nomark.gds, topcell: ARRAY6T
2026-09-25 04:19:29 +0000: Memory Usage (416872K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/6t-pdk-nomark.gds
2026-09-25 04:19:29 +0000: Memory Usage (416872K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : Loading database to memory is complete.
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : IHP-SG13G2 KLayout DRC runset output at: /work/6t-pdk-nomark-precheck/6t-pdk-nomark_ARRAY6T_main.lyrdb
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : Evaluate switches.
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : tables selected: main
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : flat mode is enabled.
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : FEOL enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : BEOL enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : OFFGRID enabled: false
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : PIN enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : FORBIDDEN enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : RECOMMENDED enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : PreCheck DRC enabled: true
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:19:29 +0000: Memory Usage (418152K) : Read in polygons from layers.
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_drw has 52 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_pin has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_mask has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_filler has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_nofill has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_opc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_iopc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : activ_noqrc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : biwind_drw has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : biwind_opc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : pemwind_drw has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_drw has 52 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_pin has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_filler has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_nofill has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_opc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419176K) : gatpoly_iopc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419432K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419432K) : cont_drw has 200 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419432K) : cont_opc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419432K) : nsd_drw has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419688K) : nsd_block has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419688K) : metal1_drw has 136 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419688K) : metal1_pin has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419688K) : metal1_mask has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419944K) : metal1_filler has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419944K) : metal1_nofill has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (419944K) : metal1_slit has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420200K) : metal1_text has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420200K) : metal1_opc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420200K) : metal1_noqrc has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420456K) : metal1_res has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420456K) : metal1_iprobe has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420456K) : metal1_diffprb has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420456K) : passiv_drw has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : passiv_pin has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : passiv_sbump has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : passiv_pillar has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : passiv_pdl has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : metal2_drw has 40 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : metal2_pin has 0 polygons
2026-09-25 04:19:29 +0000: Memory Usage (420712K) : metal2_mask has 0 polygons
