2026-09-25 04:20:46 +0000: Memory Usage (415876K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/in.gds
2026-09-25 04:20:46 +0000: Memory Usage (415876K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : Loading database to memory is complete.
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : IHP-SG13G2 KLayout DRC runset output at: /work/report.lyrdb
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : Evaluate switches.
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : tables selected: main
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : deep mode is enabled.
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : FEOL enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : BEOL enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : OFFGRID enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : ANGLE enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : PIN enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : FORBIDDEN enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : RECOMMENDED enabled: true
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : PreCheck DRC enabled: false
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:20:46 +0000: Memory Usage (416952K) : Read in polygons from layers.
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_drw has 168 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_mask has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_filler has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_nofill has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_iopc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : activ_noqrc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : biwind_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : biwind_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : pemwind_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_drw has 160 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_filler has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_nofill has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_iopc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : cont_drw has 248 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : cont_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : nsd_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : nsd_block has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_drw has 248 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_mask has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_filler has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_nofill has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_slit has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_text has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_noqrc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_res has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_iprobe has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal1_diffprb has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : passiv_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : passiv_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : passiv_sbump has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : passiv_pillar has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : passiv_pdl has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal2_drw has 152 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal2_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (417988K) : metal2_mask has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_filler has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_nofill has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_slit has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_text has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_noqrc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_res has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418244K) : metal2_iprobe has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418500K) : metal2_diffprb has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418500K) : baspoly_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418500K) : baspoly_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418500K) : psd_drw has 40 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418500K) : nldb_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : digibnd_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : via1_drw has 152 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : backmetal1_drw has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : backmetal1_pin has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : backmetal1_mask has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (418756K) : backmetal1_filler has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (419012K) : backmetal1_nofill has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (419012K) : backmetal1_slit has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (419012K) : backmetal1_text has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (419012K) : backmetal1_opc has 0 polygons
2026-09-25 04:20:46 +0000: Memory Usage (419012K) : backmetal1_noqrc has 0 polygons
