25-Sep-2026 04:19:18 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:19:18 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:19:18 | INFO    | Running IHP-SG13G2 main checks on design /work/6t-standard.gds, topcell: ARRAY6T
2026-09-25 04:19:18 +0000: Memory Usage (417056K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/6t-standard.gds
2026-09-25 04:19:18 +0000: Memory Usage (417344K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : Loading database to memory is complete.
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : IHP-SG13G2 KLayout DRC runset output at: /work/6t-standard-precheck/6t-standard_ARRAY6T_main.lyrdb
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : Evaluate switches.
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : tables selected: main
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : flat mode is enabled.
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : FEOL enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : BEOL enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : OFFGRID enabled: false
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : PIN enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : FORBIDDEN enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : RECOMMENDED enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : PreCheck DRC enabled: true
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:19:18 +0000: Memory Usage (418412K) : Read in polygons from layers.
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_drw has 52 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_pin has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_mask has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_filler has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_nofill has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_opc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_iopc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : activ_noqrc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : biwind_drw has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : biwind_opc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : pemwind_drw has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : gatpoly_drw has 52 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : gatpoly_pin has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : gatpoly_filler has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : gatpoly_nofill has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419476K) : gatpoly_opc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419732K) : gatpoly_iopc has 0 polygons
2026-09-25 04:19:18 +0000: Memory Usage (419732K) : gatpoly_noqrc has 0 polygons
