25-Sep-2026 04:45:09 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:45:09 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:45:09 | INFO    | Running IHP-SG13G2 main checks on design /work/6t-t2-nw0.24-nomark.gds, topcell: ARRAY6T
2026-09-25 04:45:11 +0000: Memory Usage (417268K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/6t-t2-nw0.24-nomark.gds
2026-09-25 04:45:11 +0000: Memory Usage (417268K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : Loading database to memory is complete.
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : IHP-SG13G2 KLayout DRC runset output at: /work/6t-t2-nw0.24-nomark-full/6t-t2-nw0.24-nomark_ARRAY6T_main.lyrdb
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : Evaluate switches.
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : tables selected: main
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : flat mode is enabled.
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : FEOL enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : BEOL enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : OFFGRID enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : PIN enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : FORBIDDEN enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : RECOMMENDED enabled: true
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : PreCheck DRC enabled: false
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:45:11 +0000: Memory Usage (418588K) : Read in polygons from layers.
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_drw has 52 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_pin has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_mask has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_filler has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_nofill has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_opc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_iopc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : activ_noqrc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : biwind_drw has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : biwind_opc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : pemwind_drw has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_drw has 52 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_pin has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_filler has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_nofill has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_opc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_iopc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : cont_drw has 200 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : cont_opc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : nsd_drw has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : nsd_block has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : metal1_drw has 136 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419612K) : metal1_pin has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419868K) : metal1_mask has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419868K) : metal1_filler has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (419868K) : metal1_nofill has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420124K) : metal1_slit has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420124K) : metal1_text has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420124K) : metal1_opc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420380K) : metal1_noqrc has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420380K) : metal1_res has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420380K) : metal1_iprobe has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420636K) : metal1_diffprb has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420636K) : passiv_drw has 0 polygons
2026-09-25 04:45:11 +0000: Memory Usage (420636K) : passiv_pin has 0 polygons
