25-Sep-2026 05:06:25 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:06:25 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 05:06:25 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-allthick-l45n-t1-nomark.gds, topcell: ARRAY_3T_allthick_L45n
2026-09-25 05:06:26 +0000: Memory Usage (414996K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-allthick-l45n-t1-nomark.gds
2026-09-25 05:06:26 +0000: Memory Usage (414996K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : Loading database to memory is complete.
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-allthick-l45n-t1-nomark-main/gain-3t-allthick-l45n-t1-nomark_ARRAY_3T_allthick_L45n_main.lyrdb
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : Evaluate switches.
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : tables selected: main
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : flat mode is enabled.
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : FEOL enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : BEOL enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : OFFGRID enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : PIN enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : FORBIDDEN enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : RECOMMENDED enabled: true
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : PreCheck DRC enabled: false
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:06:26 +0000: Memory Usage (416024K) : Read in polygons from layers.
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_drw has 19 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_pin has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_mask has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_filler has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_nofill has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_opc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_iopc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : activ_noqrc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : biwind_drw has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : biwind_opc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : pemwind_drw has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_drw has 40 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_pin has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_filler has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_nofill has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_opc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_iopc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : cont_drw has 108 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : cont_opc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : nsd_drw has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : nsd_block has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : metal1_drw has 76 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : metal1_pin has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (416792K) : metal1_mask has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417048K) : metal1_filler has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417048K) : metal1_nofill has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417048K) : metal1_slit has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417304K) : metal1_text has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417304K) : metal1_opc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417304K) : metal1_noqrc has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417560K) : metal1_res has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417560K) : metal1_iprobe has 0 polygons
2026-09-25 05:06:26 +0000: Memory Usage (417560K) : metal1_diffprb has 0 polygons
