25-Sep-2026 04:37:58 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:37:58 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:37:58 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-allthick-l45n-t2f-nomark.gds, topcell: ARRAY_3T_allthick_L45n
2026-09-25 04:37:59 +0000: Memory Usage (417056K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-allthick-l45n-t2f-nomark.gds
2026-09-25 04:37:59 +0000: Memory Usage (417056K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : Loading database to memory is complete.
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-allthick-l45n-t2f-nomark-main/gain-3t-allthick-l45n-t2f-nomark_ARRAY_3T_allthick_L45n_main.lyrdb
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : Evaluate switches.
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : tables selected: main
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : flat mode is enabled.
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : FEOL enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : BEOL enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : OFFGRID enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : PIN enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : FORBIDDEN enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : RECOMMENDED enabled: true
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : PreCheck DRC enabled: false
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:37:59 +0000: Memory Usage (418416K) : Read in polygons from layers.
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_drw has 19 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_pin has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_mask has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_filler has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_nofill has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_opc has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_iopc has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : activ_noqrc has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : biwind_drw has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : biwind_opc has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : pemwind_drw has 0 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : gatpoly_drw has 40 polygons
2026-09-25 04:37:59 +0000: Memory Usage (419696K) : gatpoly_pin has 0 polygons
