25-Sep-2026 04:38:08 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:38:08 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 04:38:08 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-allthick-l45n-t2f-relaxeddeck.gds, topcell: ARRAY_3T_allthick_L45n
2026-09-25 04:38:10 +0000: Memory Usage (417504K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-allthick-l45n-t2f-relaxeddeck.gds
2026-09-25 04:38:10 +0000: Memory Usage (417504K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : Loading database to memory is complete.
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-allthick-l45n-t2f-relaxeddeck-main/gain-3t-allthick-l45n-t2f-relaxeddeck_ARRAY_3T_allthick_L45n_main.lyrdb
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : Evaluate switches.
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : tables selected: main
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : flat mode is enabled.
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : FEOL enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : BEOL enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : OFFGRID enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : PIN enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : FORBIDDEN enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : RECOMMENDED enabled: true
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : PreCheck DRC enabled: false
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:38:10 +0000: Memory Usage (418636K) : Read in polygons from layers.
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_drw has 19 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_mask has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_filler has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_nofill has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_iopc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : activ_noqrc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : biwind_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : biwind_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : pemwind_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : gatpoly_drw has 40 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : gatpoly_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : gatpoly_filler has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : gatpoly_nofill has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419660K) : gatpoly_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : gatpoly_iopc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : cont_drw has 108 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : cont_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : nsd_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (419916K) : nsd_block has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420172K) : metal1_drw has 76 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420172K) : metal1_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420172K) : metal1_mask has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420172K) : metal1_filler has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420428K) : metal1_nofill has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420428K) : metal1_slit has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420428K) : metal1_text has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420684K) : metal1_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420684K) : metal1_noqrc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420684K) : metal1_res has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420940K) : metal1_iprobe has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420940K) : metal1_diffprb has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (420940K) : passiv_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : passiv_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : passiv_sbump has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : passiv_pillar has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : passiv_pdl has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : metal2_drw has 17 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : metal2_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : metal2_mask has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421196K) : metal2_filler has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421452K) : metal2_nofill has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421452K) : metal2_slit has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421452K) : metal2_text has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421708K) : metal2_opc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421708K) : metal2_noqrc has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421964K) : metal2_res has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421964K) : metal2_iprobe has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (421964K) : metal2_diffprb has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422220K) : baspoly_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422220K) : baspoly_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422220K) : psd_drw has 4 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422476K) : nldb_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422476K) : digibnd_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422732K) : via1_drw has 44 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422732K) : backmetal1_drw has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422732K) : backmetal1_pin has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422988K) : backmetal1_mask has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422988K) : backmetal1_filler has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (422988K) : backmetal1_nofill has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (423244K) : backmetal1_slit has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (423244K) : backmetal1_text has 0 polygons
2026-09-25 04:38:10 +0000: Memory Usage (423244K) : backmetal1_opc has 0 polygons
