25-Sep-2026 04:24:42 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:24:42 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:24:42 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thick-l45n-pdk-mark.gds, topcell: ARRAY_3T_thick_L45n
2026-09-25 04:24:42 +0000: Memory Usage (416040K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thick-l45n-pdk-mark.gds
2026-09-25 04:24:42 +0000: Memory Usage (416040K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : Loading database to memory is complete.
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thick-l45n-pdk-mark-main/gain-3t-thick-l45n-pdk-mark_ARRAY_3T_thick_L45n_main.lyrdb
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : Evaluate switches.
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : tables selected: main
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : flat mode is enabled.
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : FEOL enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : BEOL enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : OFFGRID enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : PIN enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : FORBIDDEN enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : RECOMMENDED enabled: true
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : PreCheck DRC enabled: false
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:24:42 +0000: Memory Usage (417324K) : Read in polygons from layers.
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_drw has 19 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_mask has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_filler has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_nofill has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_iopc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : activ_noqrc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : biwind_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : biwind_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : pemwind_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_drw has 40 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_filler has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_nofill has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_iopc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : cont_drw has 108 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418644K) : cont_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418900K) : nsd_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418900K) : nsd_block has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418900K) : metal1_drw has 76 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418900K) : metal1_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (418900K) : metal1_mask has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419156K) : metal1_filler has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419156K) : metal1_nofill has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419156K) : metal1_slit has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419412K) : metal1_text has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419412K) : metal1_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419412K) : metal1_noqrc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419668K) : metal1_res has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419668K) : metal1_iprobe has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419668K) : metal1_diffprb has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : passiv_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : passiv_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : passiv_sbump has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : passiv_pillar has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : passiv_pdl has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (419924K) : metal2_drw has 17 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420180K) : metal2_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420180K) : metal2_mask has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420180K) : metal2_filler has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420436K) : metal2_nofill has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420436K) : metal2_slit has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420436K) : metal2_text has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420692K) : metal2_opc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420692K) : metal2_noqrc has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420948K) : metal2_res has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420948K) : metal2_iprobe has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (420948K) : metal2_diffprb has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421204K) : baspoly_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421204K) : baspoly_pin has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421204K) : psd_drw has 4 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421460K) : nldb_drw has 0 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421460K) : digibnd_drw has 1 polygons
2026-09-25 04:24:42 +0000: Memory Usage (421716K) : via1_drw has 44 polygons
