25-Sep-2026 05:04:42 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:04:42 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 05:04:42 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thick-l45n-pdk-relaxeddeck.gds, topcell: ARRAY_3T_thick_L45n
2026-09-25 05:04:43 +0000: Memory Usage (415996K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thick-l45n-pdk-relaxeddeck.gds
2026-09-25 05:04:43 +0000: Memory Usage (415996K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:04:43 +0000: Memory Usage (417120K) : Loading database to memory is complete.
2026-09-25 05:04:43 +0000: Memory Usage (417120K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thick-l45n-pdk-relaxeddeck-main/gain-3t-thick-l45n-pdk-relaxeddeck_ARRAY_3T_thick_L45n_main.lyrdb
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : Evaluate switches.
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : tables selected: main
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : flat mode is enabled.
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : FEOL enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : BEOL enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : OFFGRID enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : PIN enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : FORBIDDEN enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : RECOMMENDED enabled: true
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : PreCheck DRC enabled: false
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:04:43 +0000: Memory Usage (417376K) : Read in polygons from layers.
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_drw has 19 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_pin has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_mask has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_filler has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_nofill has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_opc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_iopc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : activ_noqrc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : biwind_drw has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : biwind_opc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : pemwind_drw has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_drw has 40 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_pin has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_filler has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_nofill has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_opc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_iopc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : cont_drw has 108 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : cont_opc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418400K) : nsd_drw has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418656K) : nsd_block has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418656K) : metal1_drw has 76 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418656K) : metal1_pin has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418656K) : metal1_mask has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418656K) : metal1_filler has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418912K) : metal1_nofill has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (418912K) : metal1_slit has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419168K) : metal1_text has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419424K) : metal1_opc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419424K) : metal1_noqrc has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419424K) : metal1_res has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419680K) : metal1_iprobe has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419680K) : metal1_diffprb has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419680K) : passiv_drw has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419936K) : passiv_pin has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419936K) : passiv_sbump has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419936K) : passiv_pillar has 0 polygons
2026-09-25 05:04:43 +0000: Memory Usage (419936K) : passiv_pdl has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (419936K) : metal2_drw has 17 polygons
2026-09-25 05:04:44 +0000: Memory Usage (419936K) : metal2_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420192K) : metal2_mask has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420192K) : metal2_filler has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420192K) : metal2_nofill has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420448K) : metal2_slit has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420448K) : metal2_text has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420448K) : metal2_opc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420704K) : metal2_noqrc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420704K) : metal2_res has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420960K) : metal2_iprobe has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420960K) : metal2_diffprb has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (420960K) : baspoly_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421216K) : baspoly_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421216K) : psd_drw has 4 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421216K) : nldb_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421472K) : digibnd_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421472K) : via1_drw has 44 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_mask has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_filler has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_nofill has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_slit has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421728K) : backmetal1_text has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421984K) : backmetal1_opc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421984K) : backmetal1_noqrc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421984K) : backmetal1_res has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (421984K) : backmetal1_iprobe has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422240K) : backmetal1_diffprb has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422240K) : backpassiv_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422240K) : res_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422496K) : sram_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422496K) : trans_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422752K) : ind_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422752K) : ind_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422752K) : ind_text has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422752K) : salblock_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (422752K) : via2_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423008K) : metal3_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423008K) : metal3_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423264K) : metal3_mask has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423264K) : metal3_filler has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423264K) : metal3_nofill has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423520K) : metal3_slit has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423520K) : metal3_text has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423520K) : metal3_opc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423776K) : metal3_noqrc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423776K) : metal3_res has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (423776K) : metal3_iprobe has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : metal3_diffprb has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : nwell_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : nwell_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : nbulay_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : nbulay_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : nbulay_block has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : emwind_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : emwind_opc has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : deepco_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : deepco_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : mim_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : edgeseal_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : edgeseal_bound has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : substrate_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : substrate_text has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : dfpad_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : dfpad_pillar has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : dfpad_sbump has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : thickgateox_drw has 2 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : pldb_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : pwell_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : pwell_pin has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : pwell_block has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : ic_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : via3_drw has 0 polygons
2026-09-25 05:04:44 +0000: Memory Usage (424032K) : metal4_drw has 0 polygons
