25-Sep-2026 05:07:18 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:07:18 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 05:07:18 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thin-l13n-t2-relaxeddeck.gds, topcell: ARRAY_3T_thin_L13n
2026-09-25 05:07:19 +0000: Memory Usage (414140K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thin-l13n-t2-relaxeddeck.gds
2026-09-25 05:07:19 +0000: Memory Usage (414140K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : Loading database to memory is complete.
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thin-l13n-t2-relaxeddeck-main/gain-3t-thin-l13n-t2-relaxeddeck_ARRAY_3T_thin_L13n_main.lyrdb
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : Evaluate switches.
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : tables selected: main
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : flat mode is enabled.
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : FEOL enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : BEOL enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : OFFGRID enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : PIN enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : FORBIDDEN enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : RECOMMENDED enabled: true
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : PreCheck DRC enabled: false
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:07:19 +0000: Memory Usage (415272K) : Read in polygons from layers.
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_drw has 19 polygons
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_pin has 0 polygons
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_mask has 0 polygons
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_filler has 0 polygons
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_nofill has 0 polygons
2026-09-25 05:07:19 +0000: Memory Usage (416552K) : activ_opc has 0 polygons
