25-Sep-2026 04:39:08 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:39:08 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 04:39:08 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thin-l13n-t2tgo-relaxeddeck.gds, topcell: ARRAY_3T_thin_L13n
2026-09-25 04:39:10 +0000: Memory Usage (414860K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thin-l13n-t2tgo-relaxeddeck.gds
2026-09-25 04:39:10 +0000: Memory Usage (414860K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : Loading database to memory is complete.
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thin-l13n-t2tgo-relaxeddeck-main/gain-3t-thin-l13n-t2tgo-relaxeddeck_ARRAY_3T_thin_L13n_main.lyrdb
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : Evaluate switches.
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : tables selected: main
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : flat mode is enabled.
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : FEOL enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : BEOL enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : OFFGRID enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : PIN enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : FORBIDDEN enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : RECOMMENDED enabled: true
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : PreCheck DRC enabled: false
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:39:10 +0000: Memory Usage (415932K) : Read in polygons from layers.
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_drw has 19 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_pin has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_mask has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_filler has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_nofill has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_opc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_iopc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : activ_noqrc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : biwind_drw has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : biwind_opc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : pemwind_drw has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_drw has 40 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_pin has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_filler has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_nofill has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_opc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_iopc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : cont_drw has 108 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : cont_opc has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417328K) : nsd_drw has 0 polygons
2026-09-25 04:39:10 +0000: Memory Usage (417584K) : nsd_block has 0 polygons
