25-Sep-2026 05:05:17 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:05:17 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 05:05:17 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-pdk-nomark.gds, topcell: ARRAY_MIXED
2026-09-25 05:05:18 +0000: Memory Usage (414576K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-pdk-nomark.gds
2026-09-25 05:05:18 +0000: Memory Usage (414576K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : Loading database to memory is complete.
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-pdk-nomark-main/gain-mixed-pdk-nomark_ARRAY_MIXED_main.lyrdb
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : Evaluate switches.
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : tables selected: main
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : flat mode is enabled.
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : FEOL enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : BEOL enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : OFFGRID enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : PIN enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : FORBIDDEN enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : RECOMMENDED enabled: true
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : PreCheck DRC enabled: false
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:05:18 +0000: Memory Usage (415600K) : Read in polygons from layers.
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_drw has 37 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_mask has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_filler has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_nofill has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_iopc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : activ_noqrc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : biwind_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : biwind_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : pemwind_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_drw has 80 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_filler has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_nofill has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_iopc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : cont_drw has 208 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : cont_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : nsd_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416624K) : nsd_block has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416880K) : metal1_drw has 144 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416880K) : metal1_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416880K) : metal1_mask has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (416880K) : metal1_filler has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417136K) : metal1_nofill has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417392K) : metal1_slit has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417392K) : metal1_text has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417392K) : metal1_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417648K) : metal1_noqrc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417648K) : metal1_res has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417648K) : metal1_iprobe has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : metal1_diffprb has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : passiv_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : passiv_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : passiv_sbump has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : passiv_pillar has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (417904K) : passiv_pdl has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418160K) : metal2_drw has 17 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418160K) : metal2_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418160K) : metal2_mask has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418416K) : metal2_filler has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418416K) : metal2_nofill has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418672K) : metal2_slit has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418672K) : metal2_text has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418672K) : metal2_opc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418928K) : metal2_noqrc has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418928K) : metal2_res has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (418928K) : metal2_iprobe has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419184K) : metal2_diffprb has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419184K) : baspoly_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419184K) : baspoly_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419440K) : psd_drw has 8 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419440K) : nldb_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419440K) : digibnd_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419696K) : via1_drw has 80 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419696K) : backmetal1_drw has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419696K) : backmetal1_pin has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419952K) : backmetal1_mask has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419952K) : backmetal1_filler has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (419952K) : backmetal1_nofill has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (420208K) : backmetal1_slit has 0 polygons
2026-09-25 05:05:18 +0000: Memory Usage (420208K) : backmetal1_text has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420208K) : backmetal1_opc has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420464K) : backmetal1_noqrc has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420464K) : backmetal1_res has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420464K) : backmetal1_iprobe has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420464K) : backmetal1_diffprb has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420720K) : backpassiv_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420720K) : res_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420976K) : sram_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420976K) : trans_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (420976K) : ind_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421232K) : ind_pin has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421232K) : ind_text has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421232K) : salblock_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421488K) : via2_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421488K) : metal3_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421488K) : metal3_pin has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421744K) : metal3_mask has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (421744K) : metal3_filler has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422000K) : metal3_nofill has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422000K) : metal3_slit has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422000K) : metal3_text has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422256K) : metal3_opc has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422256K) : metal3_noqrc has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422256K) : metal3_res has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : metal3_iprobe has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : metal3_diffprb has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : nwell_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : nwell_pin has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : nbulay_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : nbulay_pin has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : nbulay_block has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : emwind_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : emwind_opc has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : deepco_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : deepco_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : mim_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : edgeseal_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : edgeseal_bound has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : substrate_drw has 0 polygons
2026-09-25 05:05:19 +0000: Memory Usage (422512K) : substrate_text has 0 polygons
