25-Sep-2026 04:24:36 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:24:36 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:24:36 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-pdk-nomark.gds, topcell: ARRAY_MIXED
2026-09-25 04:24:36 +0000: Memory Usage (416224K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-pdk-nomark.gds
2026-09-25 04:24:36 +0000: Memory Usage (416512K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : Loading database to memory is complete.
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-pdk-nomark-precheck/gain-mixed-pdk-nomark_ARRAY_MIXED_main.lyrdb
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : Evaluate switches.
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : tables selected: main
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : flat mode is enabled.
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : FEOL enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : BEOL enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : OFFGRID enabled: false
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : PIN enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : FORBIDDEN enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : RECOMMENDED enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : PreCheck DRC enabled: true
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:24:36 +0000: Memory Usage (417580K) : Read in polygons from layers.
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_drw has 37 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_pin has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_mask has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_filler has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_nofill has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_opc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_iopc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : activ_noqrc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : biwind_drw has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : biwind_opc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : pemwind_drw has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_drw has 80 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_pin has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_filler has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_nofill has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_opc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_iopc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : cont_drw has 208 polygons
2026-09-25 04:24:36 +0000: Memory Usage (418900K) : cont_opc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419156K) : nsd_drw has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419156K) : nsd_block has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419156K) : metal1_drw has 144 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419156K) : metal1_pin has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419156K) : metal1_mask has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419412K) : metal1_filler has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419412K) : metal1_nofill has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419412K) : metal1_slit has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419668K) : metal1_text has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419668K) : metal1_opc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419668K) : metal1_noqrc has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419924K) : metal1_res has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419924K) : metal1_iprobe has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (419924K) : metal1_diffprb has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : passiv_drw has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : passiv_pin has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : passiv_sbump has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : passiv_pillar has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : passiv_pdl has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420180K) : metal2_drw has 17 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420436K) : metal2_pin has 0 polygons
2026-09-25 04:24:36 +0000: Memory Usage (420436K) : metal2_mask has 0 polygons
