25-Sep-2026 05:05:26 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:05:26 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 05:05:26 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-pdk-relaxeddeck.gds, topcell: ARRAY_MIXED
2026-09-25 05:05:27 +0000: Memory Usage (415244K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-pdk-relaxeddeck.gds
2026-09-25 05:05:27 +0000: Memory Usage (415244K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : Loading database to memory is complete.
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-pdk-relaxeddeck-main/gain-mixed-pdk-relaxeddeck_ARRAY_MIXED_main.lyrdb
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : Evaluate switches.
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : tables selected: main
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : flat mode is enabled.
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : FEOL enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : BEOL enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : OFFGRID enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : PIN enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : FORBIDDEN enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : RECOMMENDED enabled: true
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : PreCheck DRC enabled: false
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:05:27 +0000: Memory Usage (416072K) : Read in polygons from layers.
2026-09-25 05:05:27 +0000: Memory Usage (417352K) : activ_drw has 37 polygons
2026-09-25 05:05:27 +0000: Memory Usage (417352K) : activ_pin has 0 polygons
2026-09-25 05:05:27 +0000: Memory Usage (417352K) : activ_mask has 0 polygons
2026-09-25 05:05:27 +0000: Memory Usage (417352K) : activ_filler has 0 polygons
2026-09-25 05:05:27 +0000: Memory Usage (417352K) : activ_nofill has 0 polygons
