25-Sep-2026 04:22:33 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:22:33 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:22:33 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-standard.gds, topcell: ARRAY_MIXED
2026-09-25 04:22:34 +0000: Memory Usage (417152K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-standard.gds
2026-09-25 04:22:34 +0000: Memory Usage (417152K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : Loading database to memory is complete.
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-standard-full/gain-mixed-standard_ARRAY_MIXED_main.lyrdb
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : Evaluate switches.
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : tables selected: main
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : flat mode is enabled.
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : FEOL enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : BEOL enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : OFFGRID enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : PIN enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : FORBIDDEN enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : RECOMMENDED enabled: true
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : PreCheck DRC enabled: false
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:22:34 +0000: Memory Usage (418488K) : Read in polygons from layers.
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_drw has 37 polygons
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_pin has 0 polygons
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_mask has 0 polygons
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_filler has 0 polygons
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_nofill has 0 polygons
2026-09-25 04:22:34 +0000: Memory Usage (419768K) : activ_opc has 0 polygons
