25-Sep-2026 04:22:38 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:22:38 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:22:38 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-standard.gds, topcell: ARRAY_MIXED
2026-09-25 04:22:38 +0000: Memory Usage (415672K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-standard.gds
2026-09-25 04:22:38 +0000: Memory Usage (415672K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : Loading database to memory is complete.
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-standard-precheck/gain-mixed-standard_ARRAY_MIXED_main.lyrdb
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : Evaluate switches.
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : tables selected: main
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : flat mode is enabled.
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : FEOL enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : BEOL enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : OFFGRID enabled: false
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : PIN enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : FORBIDDEN enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : RECOMMENDED enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : PreCheck DRC enabled: true
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:22:38 +0000: Memory Usage (417024K) : Read in polygons from layers.
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_drw has 37 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_pin has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_mask has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_filler has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_nofill has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_opc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_iopc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : activ_noqrc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : biwind_drw has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : biwind_opc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : pemwind_drw has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : gatpoly_drw has 80 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : gatpoly_pin has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : gatpoly_filler has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : gatpoly_nofill has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418048K) : gatpoly_opc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : gatpoly_iopc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : cont_drw has 208 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : cont_opc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : nsd_drw has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418304K) : nsd_block has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418560K) : metal1_drw has 144 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418560K) : metal1_pin has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418560K) : metal1_mask has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418560K) : metal1_filler has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418560K) : metal1_nofill has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418816K) : metal1_slit has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418816K) : metal1_text has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (418816K) : metal1_opc has 0 polygons
2026-09-25 04:22:38 +0000: Memory Usage (419072K) : metal1_noqrc has 0 polygons
