25-Sep-2026 04:38:29 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:38:29 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:38:29 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-t1-nomark.gds, topcell: ARRAY_MIXED
2026-09-25 04:38:31 +0000: Memory Usage (415064K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-t1-nomark.gds
2026-09-25 04:38:31 +0000: Memory Usage (415064K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : Loading database to memory is complete.
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-t1-nomark-main/gain-mixed-t1-nomark_ARRAY_MIXED_main.lyrdb
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : Evaluate switches.
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : tables selected: main
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : flat mode is enabled.
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : FEOL enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : BEOL enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : OFFGRID enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : PIN enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : FORBIDDEN enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : RECOMMENDED enabled: true
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : PreCheck DRC enabled: false
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:38:31 +0000: Memory Usage (416196K) : Read in polygons from layers.
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_drw has 37 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_mask has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_filler has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_nofill has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_iopc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : activ_noqrc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : biwind_drw has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : biwind_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : pemwind_drw has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_drw has 80 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_filler has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_nofill has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_iopc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417488K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : cont_drw has 208 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : cont_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : nsd_drw has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : nsd_block has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : metal1_drw has 144 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : metal1_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (417744K) : metal1_mask has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418000K) : metal1_filler has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418000K) : metal1_nofill has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418256K) : metal1_slit has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418520K) : metal1_text has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418520K) : metal1_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418520K) : metal1_noqrc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418776K) : metal1_res has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (418776K) : metal1_iprobe has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : metal1_diffprb has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : passiv_drw has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : passiv_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : passiv_sbump has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : passiv_pillar has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419032K) : passiv_pdl has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419288K) : metal2_drw has 17 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419288K) : metal2_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419288K) : metal2_mask has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419544K) : metal2_filler has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419544K) : metal2_nofill has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419544K) : metal2_slit has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419800K) : metal2_text has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419800K) : metal2_opc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (419800K) : metal2_noqrc has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420056K) : metal2_res has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420056K) : metal2_iprobe has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420312K) : metal2_diffprb has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420312K) : baspoly_drw has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420312K) : baspoly_pin has 0 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420568K) : psd_drw has 8 polygons
2026-09-25 04:38:31 +0000: Memory Usage (420568K) : nldb_drw has 0 polygons
