25-Sep-2026 04:38:40 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:38:40 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 04:38:40 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-t1-relaxeddeck.gds, topcell: ARRAY_MIXED
2026-09-25 04:38:41 +0000: Memory Usage (414644K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-t1-relaxeddeck.gds
2026-09-25 04:38:41 +0000: Memory Usage (414644K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : Loading database to memory is complete.
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-t1-relaxeddeck-main/gain-mixed-t1-relaxeddeck_ARRAY_MIXED_main.lyrdb
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : Evaluate switches.
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : tables selected: main
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : flat mode is enabled.
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : FEOL enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : BEOL enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : OFFGRID enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : PIN enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : FORBIDDEN enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : RECOMMENDED enabled: true
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : PreCheck DRC enabled: false
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:38:41 +0000: Memory Usage (415720K) : Read in polygons from layers.
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_drw has 37 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_pin has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_mask has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_filler has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_nofill has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_opc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_iopc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : activ_noqrc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : biwind_drw has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : biwind_opc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : pemwind_drw has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_drw has 80 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_pin has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_filler has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_nofill has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_opc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_iopc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : cont_drw has 208 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417060K) : cont_opc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417316K) : nsd_drw has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417316K) : nsd_block has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417316K) : metal1_drw has 144 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417316K) : metal1_pin has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417572K) : metal1_mask has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417572K) : metal1_filler has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417572K) : metal1_nofill has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417828K) : metal1_slit has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417828K) : metal1_text has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (417828K) : metal1_opc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418084K) : metal1_noqrc has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418084K) : metal1_res has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418084K) : metal1_iprobe has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418340K) : metal1_diffprb has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418340K) : passiv_drw has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418340K) : passiv_pin has 0 polygons
2026-09-25 04:38:41 +0000: Memory Usage (418340K) : passiv_sbump has 0 polygons
