25-Sep-2026 05:03:48 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:03:48 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 05:03:48 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-t2w30-nomark.gds, topcell: ARRAY_MIXED
2026-09-25 05:03:49 +0000: Memory Usage (415064K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-t2w30-nomark.gds
2026-09-25 05:03:49 +0000: Memory Usage (415064K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : Loading database to memory is complete.
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-t2w30-nomark-main/gain-mixed-t2w30-nomark_ARRAY_MIXED_main.lyrdb
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : Evaluate switches.
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : tables selected: main
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : flat mode is enabled.
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : FEOL enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : BEOL enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : OFFGRID enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : PIN enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : FORBIDDEN enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : RECOMMENDED enabled: true
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : PreCheck DRC enabled: false
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:03:49 +0000: Memory Usage (416164K) : Read in polygons from layers.
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_drw has 37 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_pin has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_mask has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_filler has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_nofill has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_opc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_iopc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : activ_noqrc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : biwind_drw has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : biwind_opc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : pemwind_drw has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_drw has 80 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_pin has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_filler has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_nofill has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_opc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_iopc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : cont_drw has 208 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417444K) : cont_opc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417700K) : nsd_drw has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417700K) : nsd_block has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417700K) : metal1_drw has 144 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417700K) : metal1_pin has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417700K) : metal1_mask has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417956K) : metal1_filler has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417956K) : metal1_nofill has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (417956K) : metal1_slit has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (418212K) : metal1_text has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (418212K) : metal1_opc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (418212K) : metal1_noqrc has 0 polygons
2026-09-25 05:03:49 +0000: Memory Usage (418468K) : metal1_res has 0 polygons
