# Logfile created on 2026-09-25 03:16:44 +0000 by logger.rb/v1.6.0
2026-09-25 03:16:44 +0000: Memory Usage (417040K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/sram6t.gds
2026-09-25 03:16:44 +0000: Memory Usage (417040K) : Ruby Version for klayout: 3.3.8
2026-09-25 03:16:44 +0000: Memory Usage (418080K) : Loading database to memory is complete.
2026-09-25 03:16:44 +0000: Memory Usage (418080K) : IHP-SG13G2 KLayout DRC runset output at: /work/sram6t-v3/sram6t_ARRAY6T_main.lyrdb
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : Evaluate switches.
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : tables selected: main
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : flat mode is enabled.
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : FEOL enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : BEOL enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : OFFGRID enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : PIN enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : FORBIDDEN enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : RECOMMENDED enabled: true
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : PreCheck DRC enabled: false
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 03:16:44 +0000: Memory Usage (418376K) : Read in polygons from layers.
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_drw has 52 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_pin has 0 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_mask has 0 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_filler has 0 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_nofill has 0 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_opc has 0 polygons
2026-09-25 03:16:44 +0000: Memory Usage (419452K) : activ_iopc has 0 polygons
