== RM_IHPSG13_1P_BITKIT_CELL_2x1
   RM_IHPSG13_1P_BITKIT_CELL (0.0, 1.07) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL (0.0, 0.0) 0.0 False (None, None, None)
== RM_IHPSG13_1P_BITKIT_16x2_SRAM
   RM_IHPSG13_1P_BITKIT_TAP (4.215, -1.045) 3.141592653589793 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_TAP (1.405, 17.095) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_TAP (4.215, 17.095) 3.141592653589793 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_TAP (1.405, -1.045) 0.0 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 0.0) 3.141592653589793 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 4.28) 3.141592653589793 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 12.84) 3.141592653589793 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 8.56) 3.141592653589793 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 3.21) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 7.49) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 11.77) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 16.05) 0.0 True (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 3.21) 3.141592653589793 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 7.49) 3.141592653589793 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 11.77) 3.141592653589793 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (4.215, 16.05) 3.141592653589793 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 12.84) 0.0 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 8.56) 0.0 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 4.28) 0.0 False (None, None, None)
   RM_IHPSG13_1P_BITKIT_CELL_2x1 (1.405, 0.0) 0.0 False (None, None, None)
