4tn wlidle=0.5; WL idle 0.5 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      -0.1         -0.1         739.1             nan        2867.00   0.240/0.240
mos_tt   85      -0.1         -0.1         970.5             nan       17796.63   0.241/0.241
mos_ff   27      -0.1         -0.1        1043.9             nan       25913.34   0.247/0.247
mos_ff   85      -0.1         -0.1        1175.5             nan      113221.10   0.248/0.248
mos_ss   27      -0.0         -0.1         649.8             nan         160.01   0.234/0.234
mos_ss   85      -0.1         -0.1         700.9             nan        1651.42   0.235/0.235
mos_sf   27      -0.1         -0.1         692.8             nan         713.71   0.237/0.237
mos_sf   85      -0.1         -0.1         754.6             nan        5633.11   0.238/0.238
mos_fs   27      -0.1         -0.1         794.9             nan        8738.89   0.243/0.243
mos_fs   85      -0.1         -0.1        1122.8             nan       45543.57   0.245/0.245
