4tp a=0.30 d=0.15; WL idle 1.2 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      68.6         70.4        1104.1             nan          18.85   1.155/0.000
mos_tt   85      63.2         54.8        1122.9             nan         231.98   1.143/0.000
mos_ff   27      70.6         39.8        1142.1             nan         232.02   1.171/0.000
mos_ff   85      64.3         21.1        1167.6             nan        1965.89   1.148/0.000
mos_ss   27      81.1         72.5        1105.2             nan           1.02   1.069/0.000
mos_ss   85      76.7         61.2        1117.8             nan          19.11   1.165/0.000
mos_sf   27     160.4          2.6        1193.1             nan          55.50   1.198/0.000
mos_sf   85     152.8         -0.0        1199.6             nan         531.59   1.197/0.000
mos_fs   27      -0.0        126.4        1029.9             nan           6.75   0.016/0.016
mos_fs   85      -0.0        109.0        1048.5             nan         102.63   0.019/0.019
