4tp d=0.60 hvd=1; WL idle 1.2 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     175.1         -0.0        1200.0             nan           2.30   1.199/0.000
mos_tt   85     164.1         -0.1        1200.0             nan          42.97   1.197/0.000
mos_ff   27     215.9         -0.1        1200.0             nan          58.67   1.200/0.000
mos_ff   85     206.7         -0.1        1200.0             nan         655.27   1.199/0.000
mos_ss   27     134.1         -0.0        1199.8             nan           0.12   1.194/0.000
mos_ss   85     124.8         -0.0        1199.9             nan           3.42   1.190/0.000
mos_sf   27     265.9         -0.1        1200.0             nan          11.71   1.200/0.000
mos_sf   85     257.6         -0.1        1200.0             nan         166.76   1.200/0.000
mos_fs   27      83.3         -0.0        1197.7             nan           0.54   1.182/0.000
mos_fs   85      68.9         -0.0        1199.1             nan          14.07   1.155/0.000
