4tp d=0.60 hvd=1 wlon=0.7; WL idle 1.2 V, active 0.7 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     175.1        471.3           nan             nan           2.30   1.199/0.000
mos_tt   85     164.1        448.5           nan             nan          42.97   1.197/0.000
mos_ff   27     215.9        427.6           nan             nan          58.67   1.200/0.000
mos_ff   85     206.7        397.3           nan             nan         655.27   1.199/0.000
mos_ss   27     134.1        502.0           nan             nan           0.12   1.194/0.000
mos_ss   85     124.8        487.2           nan             nan           3.42   1.190/0.000
mos_sf   27     265.9        400.5           nan             nan          11.71   1.200/0.000
mos_sf   85     257.6        381.1           nan             nan         166.76   1.200/0.000
mos_fs   27      83.3        502.9           nan             nan           0.54   1.182/0.000
mos_fs   85      68.9        477.8           nan             nan          14.07   1.155/0.000
