4tp ld=0.30; WL idle 1.2 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      -0.0        164.2         976.6             nan           4.54   0.004/0.004
mos_tt   85      -0.0        137.1        1007.4             nan          82.78   0.005/0.005
mos_ff   27      -0.0        144.5         992.8             nan         115.88   0.011/0.011
mos_ff   85      -0.0        106.6        1043.5             nan        1283.81   0.012/0.012
mos_ss   27      -0.0        188.5         959.4             nan           0.23   0.003/0.003
mos_ss   85      -0.0        166.5         979.2             nan           6.28   0.003/0.003
mos_sf   27      24.2        119.9        1040.4             nan          19.04   0.524/0.000
mos_sf   85      17.0         90.2        1074.7             nan         289.84   0.402/0.000
mos_fs   27      -0.0        212.3         903.0             nan           0.94   0.000/0.000
mos_fs   85      -0.0        181.5         939.3             nan          21.72   0.001/0.001
