5t pd=0.30 pg=0.30 pu=0.15 vcell=0.4; WL idle 0.0 V, active 1.2 V; cell supply 0.4 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     158.9     -707106781186.5          62.4           316.6           3.99   0.400/0.000
mos_tt   85     153.5     -707106781186.5         121.1           260.8          66.79   0.400/0.000
mos_ff   27     158.7     -707106781186.5         152.4           258.2          54.43   0.400/0.000
mos_ff   85     151.6     -707106781186.5         184.3           231.7         637.05   0.400/0.000
mos_ss   27     158.9     -707106781186.5           nan           399.1           0.16   0.400/0.000
mos_ss   85     153.9     -707106781186.5          31.6           335.3           4.64   0.400/0.000
mos_sf   27     145.3     -707106781186.5         106.8           349.0           6.46   0.400/0.000
mos_sf   85     140.4     -707106781186.5         166.1           296.5         104.68   0.400/0.000
mos_fs   27     130.0     -707106781186.5          21.5           288.2           8.74   0.400/0.000
mos_fs   85     129.3     -707106781186.5          80.3           229.9         116.22   0.400/0.000
