5t pd=0.30 pg=0.60 pu=0.15; WL idle 0.0 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     485.8        150.3         362.9             nan          14.22   1.200/0.000
mos_tt   85     466.7        124.5         384.7             nan         131.24   1.200/0.000
mos_ff   27     458.0        128.1         388.8             nan         128.09   1.200/0.000
mos_ff   85     438.0        100.2         404.7             nan        1177.16   1.200/0.000
mos_ss   27     511.8        169.0         344.3             nan           2.09   1.200/0.000
mos_ss   85     493.6        146.4         365.8             nan          11.26   1.200/0.000
mos_sf   27     487.0        181.2         335.4             nan          17.36   1.200/0.000
mos_sf   85     470.1        157.4         356.3             nan         194.85   1.200/0.000
mos_fs   27     473.5        117.0         393.6             nan          27.72   1.200/0.000
mos_fs   85     453.5         89.8         409.2             nan         228.31   1.200/0.000
