6n d=0.60 k=1.2 wlon=1.2; WL idle 0.0 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      38.3          0.0         693.1             nan          42.83   0.383/0.000
mos_tt   85      38.1          2.9         740.5             nan         599.52   0.393/0.000
mos_ff   27      35.9         10.9         764.8             nan         301.43   0.372/0.000
mos_ff   85      36.0         11.9         811.9             nan        3163.06   0.385/0.000
mos_ss   27      43.2         -0.0         613.7             nan           2.31   0.412/0.000
mos_ss   85      39.4         -0.0         654.6             nan          51.40   0.395/0.000
mos_sf   27      39.9         -0.0         653.2             nan          10.23   0.392/0.000
mos_sf   85      38.8          0.2         695.8             nan         182.46   0.394/0.000
mos_fs   27      37.1          6.2         729.4             nan         114.20   0.377/0.000
mos_fs   85      37.1          8.4         786.8             nan        1382.58   0.389/0.000
