6T PD 0.2/0.13 PG 0.15/0.13 PU 0.15/0.13; WL 1.2 V, read bit lines at 1.2 V
corner   T   hold SNM (mV)   read SNM (mV)   write margin (mV)   leakage (pA/bit)
mos_tt   27      488.3           209.3           419.9               12.97
mos_tt   85      469.7           192.4           440.2              162.36
mos_ff   27      456.8           185.6           447.7              148.82
mos_ff   85      437.3           165.8           470.1             1571.92
mos_ss   27      517.5           232.3           390.7                1.46
mos_ss   85      499.8           217.9           409.8               11.51
mos_sf   27      486.0           240.0           355.8               16.21
mos_sf   85      469.8           224.4           373.8              199.86
mos_fs   27      477.8           179.1           482.4               29.61
mos_fs   85      458.4           160.5           503.9              344.92
