6t blcell=1 mode=vsweep pd=0.30 pg=0.30 pu=0.15 vlist=1.2,0.9,0.7,0.6,0.5,0.4,0.3,0.2: hold SNM and leakage against the cell supply
vcell 1.20  mos_tt   27  hold SNM   485.8 mV  leakage     20.59 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_tt   85  hold SNM   466.7 mV  leakage    213.21 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_ff   27  hold SNM   458.0 mV  leakage    178.25 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_ff   85  hold SNM   438.0 mV  leakage   1679.21 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_ss   27  hold SNM   511.8 mV  leakage      2.56 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_ss   85  hold SNM   493.6 mV  leakage     17.26 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_sf   27  hold SNM   487.0 mV  leakage     18.98 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_sf   85  hold SNM   470.1 mV  leakage    217.86 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_fs   27  hold SNM   473.5 mV  leakage     45.63 pA/bit  (Q 1.200, QB 0.000)
vcell 1.20  mos_fs   85  hold SNM   453.5 mV  leakage    432.90 pA/bit  (Q 1.200, QB 0.000)
vcell 0.90  mos_tt   27  hold SNM   387.2 mV  leakage     12.21 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_tt   85  hold SNM   371.3 mV  leakage    170.94 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_ff   27  hold SNM   366.4 mV  leakage    128.61 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_ff   85  hold SNM   349.3 mV  leakage   1367.62 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_ss   27  hold SNM   397.7 mV  leakage      0.80 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_ss   85  hold SNM   387.1 mV  leakage     12.48 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_sf   27  hold SNM   379.8 mV  leakage     12.04 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_sf   85  hold SNM   367.4 mV  leakage    172.55 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_fs   27  hold SNM   369.3 mV  leakage     29.55 pA/bit  (Q 0.900, QB 0.000)
vcell 0.90  mos_fs   85  hold SNM   356.1 mV  leakage    352.17 pA/bit  (Q 0.900, QB 0.000)
vcell 0.70  mos_tt   27  hold SNM   302.4 mV  leakage      9.62 pA/bit  (Q 0.700, QB 0.000)
vcell 0.70  mos_tt   85  hold SNM   293.0 mV  leakage    146.65 pA/bit  (Q 0.700, QB 0.000)
vcell 0.70  mos_ff   27  hold SNM   293.9 mV  leakage    106.89 pA/bit  (Q 0.700, QB 0.000)
vcell 0.70  mos_ff   85  hold SNM   279.9 mV  leakage   1180.79 pA/bit  (Q 0.700, QB 0.000)
vcell 0.70  mos_ss   27  hold SNM   303.0 mV  leakage      0.46 pA/bit  (Q 0.700, QB 0.000)
