6t pd=0.30 pg=0.30 pu=0.15; WL idle 0.0 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     485.8        213.2         418.3             nan          20.59   1.200/0.000
mos_tt   85     466.7        193.5         442.6             nan         213.21   1.200/0.000
mos_ff   27     458.0        193.9         437.7             nan         178.25   1.200/0.000
mos_ff   85     438.0        171.4         463.5             nan        1679.21   1.200/0.000
mos_ss   27     511.8        230.4         403.3             nan           2.56   1.200/0.000
mos_ss   85     493.6        213.5         425.5             nan          17.26   1.200/0.000
mos_sf   27     487.0        240.5         367.1             nan          18.98   1.200/0.000
mos_sf   85     470.1        222.4         388.6             nan         217.86   1.200/0.000
mos_fs   27     473.5        184.4         473.1             nan          45.63   1.200/0.000
mos_fs   85     453.5        163.2         498.5             nan         432.90   1.200/0.000
