6T PD 0.3/0.13 PG 0.3/0.13 PU 0.15/0.13; WL 1.2 V, read bit lines at 1.2 V
corner   T   hold SNM (mV)   read SNM (mV)   write margin (mV)   leakage (pA/bit)
mos_tt   27      485.8           213.2           418.3               20.59
mos_tt   85      466.7           193.5           442.6              213.21
mos_ff   27      458.0           193.9           437.7              178.25
mos_ff   85      438.0           171.4           463.5             1679.21
mos_ss   27      511.8           230.4           403.3                2.56
mos_ss   85      493.6           213.5           425.5               17.26
mos_sf   27      487.0           240.5           367.1               18.98
mos_sf   85      470.1           222.4           388.6              217.86
mos_fs   27      473.5           184.4           473.1               45.63
mos_fs   85      453.5           163.2           498.5              432.90
