kernel,loc,width,value,t_def,t_last
linebuf,L40.w0,32,3639700191,115416,128000
linebuf,L40.w1,32,3445702192,115576,128000
linebuf,L40.w2,32,3280387012,115736,128000
linebuf,L40.w3,32,271041745,115896,128000
linebuf,L40.w4,32,1095513148,116056,128000
linebuf,L40.w5,32,506456969,116216,128000
linebuf,L40.w6,32,2127877499,116376,128000
linebuf,L40.w7,32,3268308804,116536,128000
linebuf,L40.w8,32,1930549411,116696,128000
linebuf,L40.w9,32,2028277857,116856,128000
linebuf,L40.w10,32,2798570523,117016,128000
linebuf,L40.w11,32,1630434966,117176,128000
linebuf,L41.w0,32,3387541014,117336,131200
linebuf,L41.w1,32,901749037,117496,131200
linebuf,L41.w2,32,403123852,117656,131200
linebuf,L41.w3,32,2095328386,117816,131200
linebuf,L41.w4,32,121751464,117976,131200
linebuf,L41.w5,32,3836767462,118136,131200
linebuf,L41.w6,32,3589583794,118296,131200
linebuf,L41.w7,32,1674216077,118456,131200
linebuf,L41.w8,32,1858720390,118616,131200
linebuf,L41.w9,32,2608926326,118776,131200
linebuf,L41.w10,32,3273968005,118936,131200
linebuf,L41.w11,32,3294916953,119096,131200
linebuf,L42.w0,32,9045414,119256,134400
linebuf,L42.w1,32,2988579416,119416,134400
linebuf,L42.w2,32,1912923437,119576,134400
linebuf,L42.w3,32,1143881027,119736,134400
linebuf,L42.w4,32,3098990846,119896,134400
linebuf,L42.w5,32,3443818037,120056,134400
linebuf,L42.w6,32,982526257,120216,134400
linebuf,L42.w7,32,2538984641,120376,134400
linebuf,L42.w8,32,4059906722,120536,134400
linebuf,L42.w9,32,439062303,120696,134400
linebuf,L42.w10,32,3871601465,120856,134400
linebuf,L42.w11,32,1363349907,121016,134400
linebuf,L43.w0,32,109289145,126054,137600
linebuf,L43.w1,32,2789779421,126214,137600
linebuf,L43.w2,32,2325348894,126374,137600
linebuf,L43.w3,32,39534911,126534,137600
linebuf,L43.w4,32,4033614922,126694,137600
linebuf,L43.w5,32,3784870617,126854,137600
linebuf,L43.w6,32,1637259727,127014,137600
linebuf,L43.w7,32,2948425721,127174,137600
linebuf,L43.w8,32,930287327,127334,137600
linebuf,L43.w9,32,4161997890,127494,137600
linebuf,L43.w10,32,1812976885,127654,137600
linebuf,L43.w11,32,3117513184,127814,137600
linebuf,L44.w0,32,124729223,127974,140800
linebuf,L44.w1,32,2266151100,128134,140800
linebuf,L44.w2,32,952158461,128294,140800
linebuf,L44.w3,32,3280070799,128454,140800
linebuf,L44.w4,32,1880712864,128614,140800
linebuf,L44.w5,32,4033691631,128774,140800
linebuf,L44.w6,32,2129497364,128934,140800
linebuf,L44.w7,32,2374513802,129094,140800
linebuf,L44.w8,32,1001090105,129254,140800
linebuf,L44.w9,32,1484771968,129414,140800
linebuf,L44.w10,32,991564255,129574,140800
linebuf,L44.w11,32,2907042365,129734,140800
linebuf,L45.w0,32,939657385,129894,144000
linebuf,L45.w1,32,3268245658,130054,144000
linebuf,L45.w2,32,1973981844,130214,144000
linebuf,L45.w3,32,4089858807,130374,144000
linebuf,L45.w4,32,1244602538,130534,144000
linebuf,L45.w5,32,3979315673,130694,144000
linebuf,L45.w6,32,92297589,130854,144000
linebuf,L45.w7,32,1787479226,131014,144000
linebuf,L45.w8,32,3597370014,131174,144000
linebuf,L45.w9,32,3935348976,131334,144000
linebuf,L45.w10,32,2389953095,131494,144000
linebuf,L45.w11,32,3960769716,131654,144000
linebuf,L46.w0,32,798461319,134534,147200
linebuf,L46.w1,32,2703050138,134694,147200
linebuf,L46.w2,32,4262941488,134854,147200
linebuf,L46.w3,32,3108005869,135014,147200
linebuf,L46.w4,32,3693442237,135174,147200
linebuf,L46.w5,32,1272987056,135334,147200
linebuf,L46.w6,32,519218416,135494,147200
linebuf,L46.w7,32,3191790602,135654,147200
linebuf,L46.w8,32,1428914934,135814,147200
linebuf,L46.w9,32,3846467028,135974,147200
linebuf,L46.w10,32,3098751912,136134,147200
linebuf,L46.w11,32,4180086606,136294,147200
linebuf,L47.w0,32,3054545399,136454,150400
linebuf,L47.w1,32,2150918326,136614,150400
