kernel,loc,width,value,t_def,t_last
seq,t0.pc,6,0,0,0
seq,t1.pc,6,0,0,1
seq,t2.pc,6,0,0,2
seq,t3.pc,6,0,0,3
seq,t0.acc,8,0,0,-1
seq,t0.pc,6,1,1,4
seq,t1.pc,6,1,2,5
seq,t2.pc,6,1,3,6
seq,t3.pc,6,0,4,7
seq,t0.pc,6,2,5,8
seq,t1.acc,8,0,0,-1
seq,t1.pc,6,2,6,9
seq,t2.dl,12,0,0,-1
seq,t2.pc,6,2,7,10
seq,t3.pc,6,0,8,11
seq,t0.dl,12,0,0,-1
seq,t0.pc,6,3,9,12
seq,t1.pc,6,3,10,13
seq,t2.dl,12,28,11,14
seq,t2.pc,6,3,11,14
seq,t3.pc,6,0,12,15
seq,t0.dl,12,105,13,16
seq,t0.pc,6,4,13,16
seq,t1.cnt,12,0,0,-1
seq,t1.pc,6,4,14,17
seq,t2.dl,12,27,15,18
seq,t2.pc,6,3,15,18
seq,t3.pc,6,0,16,19
seq,t0.dl,12,104,17,20
seq,t0.pc,6,4,17,20
seq,t1.acc,8,165,10,21
seq,t1.cnt,12,8,18,21
seq,t1.pc,6,5,18,21
seq,t2.dl,12,26,19,22
seq,t2.pc,6,3,19,22
seq,t3.pc,6,0,20,23
seq,t0.dl,12,103,21,24
seq,t0.pc,6,4,21,24
seq,t1.dl,12,0,0,-1
seq,t1.pc,6,6,22,25
seq,t2.dl,12,25,23,26
seq,t2.pc,6,3,23,26
seq,t3.pc,6,0,24,27
seq,t0.dl,12,102,25,28
seq,t0.pc,6,4,25,28
seq,t1.dl,12,1,26,29
seq,t1.pc,6,7,26,29
seq,t2.dl,12,24,27,30
seq,t2.pc,6,3,27,30
seq,t3.pc,6,0,28,31
seq,t0.dl,12,101,29,32
seq,t0.pc,6,4,29,32
seq,t1.pc,6,7,30,33
seq,t2.dl,12,23,31,34
seq,t2.pc,6,3,31,34
seq,t3.pc,6,0,32,35
seq,t0.dl,12,100,33,36
seq,t0.pc,6,4,33,36
seq,t1.pc,6,8,34,37
seq,t2.dl,12,22,35,38
seq,t2.pc,6,3,35,38
seq,t3.pc,6,0,36,39
seq,t0.dl,12,99,37,40
seq,t0.pc,6,4,37,40
seq,t1.dl,12,0,30,33
seq,t1.pc,6,9,38,41
seq,t2.dl,12,21,39,42
seq,t2.pc,6,3,39,42
seq,t3.pc,6,0,40,43
seq,t0.dl,12,98,41,44
seq,t0.pc,6,4,41,44
seq,t1.dl,12,3,42,45
seq,t1.pc,6,10,42,45
seq,t2.dl,12,20,43,46
seq,t2.pc,6,3,43,46
seq,t3.pc,6,0,44,47
seq,t0.dl,12,97,45,48
seq,t0.pc,6,4,45,48
seq,t1.dl,12,2,46,49
seq,t1.pc,6,10,46,49
seq,t2.dl,12,19,47,50
seq,t2.pc,6,3,47,50
seq,t3.pc,6,0,48,51
seq,t0.dl,12,96,49,52
seq,t0.pc,6,4,49,52
seq,t1.dl,12,1,50,53
seq,t1.pc,6,10,50,53
seq,t2.dl,12,18,51,54
seq,t2.pc,6,3,51,54
seq,t3.pc,6,0,52,55
seq,t0.dl,12,95,53,56
seq,t0.pc,6,4,53,56
seq,t1.pc,6,10,54,57
seq,t2.dl,12,17,55,58
seq,t2.pc,6,3,55,58
seq,t3.pc,6,0,56,59
seq,t0.dl,12,94,57,60
seq,t0.pc,6,4,57,60
seq,t1.pc,6,11,58,61
seq,t2.dl,12,16,59,62
seq,t2.pc,6,3,59,62
seq,t3.pc,6,0,60,63
seq,t0.dl,12,93,61,64
seq,t0.pc,6,4,61,64
seq,t1.pc,6,12,62,65
seq,t2.dl,12,15,63,66
seq,t2.pc,6,3,63,66
seq,t3.pc,6,0,64,67
seq,t0.dl,12,92,65,68
seq,t0.pc,6,4,65,68
seq,t1.acc,8,74,22,69
seq,t1.cnt,12,7,22,69
seq,t1.pc,6,5,66,69
seq,t2.dl,12,14,67,70
seq,t2.pc,6,3,67,70
seq,t3.pc,6,0,68,71
seq,t0.dl,12,91,69,72
seq,t0.pc,6,4,69,72
seq,t1.dl,12,0,54,57
seq,t1.pc,6,6,70,73
seq,t2.dl,12,13,71,74
seq,t2.pc,6,3,71,74
seq,t3.pc,6,0,72,75
seq,t0.dl,12,90,73,76
seq,t0.pc,6,4,73,76
seq,t1.dl,12,1,74,77
seq,t1.pc,6,7,74,77
seq,t2.dl,12,12,75,78
seq,t2.pc,6,3,75,78
seq,t3.pc,6,0,76,79
seq,t0.dl,12,89,77,80
seq,t0.pc,6,4,77,80
seq,t1.pc,6,7,78,81
seq,t2.dl,12,11,79,82
seq,t2.pc,6,3,79,82
seq,t3.pc,6,0,80,83
seq,t0.dl,12,88,81,84
seq,t0.pc,6,4,81,84
seq,t1.pc,6,8,82,85
seq,t2.dl,12,10,83,86
seq,t2.pc,6,3,83,86
seq,t3.pc,6,0,84,87
seq,t0.dl,12,87,85,88
seq,t0.pc,6,4,85,88
seq,t1.dl,12,0,78,81
seq,t1.pc,6,9,86,89
seq,t2.dl,12,9,87,90
seq,t2.pc,6,3,87,90
seq,t3.pc,6,0,88,91
seq,t0.dl,12,86,89,92
seq,t0.pc,6,4,89,92
seq,t1.dl,12,3,90,93
seq,t1.pc,6,10,90,93
seq,t2.dl,12,8,91,94
seq,t2.pc,6,3,91,94
seq,t3.pc,6,0,92,95
seq,t0.dl,12,85,93,96
seq,t0.pc,6,4,93,96
seq,t1.dl,12,2,94,97
seq,t1.pc,6,10,94,97
seq,t2.dl,12,7,95,98
seq,t2.pc,6,3,95,98
seq,t3.pc,6,0,96,99
seq,t0.dl,12,84,97,100
seq,t0.pc,6,4,97,100
seq,t1.dl,12,1,98,101
seq,t1.pc,6,10,98,101
seq,t2.dl,12,6,99,102
seq,t2.pc,6,3,99,102
seq,t3.pc,6,0,100,103
seq,t0.dl,12,83,101,104
seq,t0.pc,6,4,101,104
seq,t1.pc,6,10,102,105
seq,t2.dl,12,5,103,106
seq,t2.pc,6,3,103,106
seq,t3.pc,6,0,104,107
seq,t0.dl,12,82,105,108
seq,t0.pc,6,4,105,108
seq,t1.pc,6,11,106,109
seq,t2.dl,12,4,107,110
seq,t2.pc,6,3,107,110
seq,t3.pc,6,0,108,111
seq,t0.dl,12,81,109,112
seq,t0.pc,6,4,109,112
seq,t1.pc,6,12,110,113
seq,t2.dl,12,3,111,114
seq,t2.pc,6,3,111,114
seq,t3.pc,6,0,112,115
seq,t0.dl,12,80,113,116
seq,t0.pc,6,4,113,116
seq,t1.acc,8,148,70,117
seq,t1.cnt,12,6,70,117
seq,t1.pc,6,5,114,117
seq,t2.dl,12,2,115,118
seq,t2.pc,6,3,115,118
seq,t3.pc,6,0,116,119
seq,t0.dl,12,79,117,120
seq,t0.pc,6,4,117,120
seq,t1.dl,12,0,102,105
seq,t1.pc,6,6,118,121
seq,t2.dl,12,1,119,122
seq,t2.pc,6,3,119,122
seq,t3.pc,6,0,120,123
seq,t0.dl,12,78,121,124
seq,t0.pc,6,4,121,124
seq,t1.dl,12,1,122,125
seq,t1.pc,6,7,122,125
seq,t2.pc,6,3,123,126
seq,t3.pc,6,0,124,127
seq,t0.dl,12,77,125,128
seq,t0.pc,6,4,125,128
seq,t1.pc,6,7,126,129
seq,t2.pc,6,4,127,130
seq,t3.pc,6,0,128,131
seq,t0.dl,12,76,129,132
seq,t0.pc,6,4,129,132
seq,t1.pc,6,8,130,133
seq,t2.acc,8,0,0,-1
seq,t2.pc,6,5,131,134
seq,t3.pc,6,0,132,135
seq,t0.dl,12,75,133,136
seq,t0.pc,6,4,133,136
seq,t1.dl,12,0,126,129
seq,t1.pc,6,9,134,137
seq,t2.cnt,12,0,0,-1
seq,t2.pc,6,6,135,138
seq,t3.pc,6,0,136,139
seq,t0.dl,12,74,137,140
seq,t0.pc,6,4,137,140
seq,t1.dl,12,3,138,141
seq,t1.pc,6,10,138,141
seq,t2.acc,8,160,135,142
seq,t2.cnt,12,8,139,142
seq,t2.pc,6,7,139,142
seq,t3.pc,6,0,140,143
seq,t0.dl,12,73,141,144
seq,t0.pc,6,4,141,144
seq,t1.dl,12,2,142,145
seq,t1.pc,6,10,142,145
seq,t2.dl,12,0,123,126
seq,t2.pc,6,8,143,146
seq,t3.pc,6,0,144,147
seq,t0.dl,12,72,145,148
seq,t0.pc,6,4,145,148
seq,t1.dl,12,1,146,149
seq,t1.pc,6,10,146,149
seq,t2.dl,12,28,147,150
seq,t2.pc,6,9,147,150
seq,t3.pc,6,0,148,151
seq,t0.dl,12,71,149,152
seq,t0.pc,6,4,149,152
seq,t1.pc,6,10,150,153
seq,t2.dl,12,27,151,154
seq,t2.pc,6,9,151,154
seq,t3.pc,6,0,152,155
seq,t0.dl,12,70,153,156
seq,t0.pc,6,4,153,156
seq,t1.pc,6,11,154,157
seq,t2.dl,12,26,155,158
seq,t2.pc,6,9,155,158
seq,t3.pc,6,0,156,159
seq,t0.dl,12,69,157,160
seq,t0.pc,6,4,157,160
seq,t1.pc,6,12,158,161
seq,t2.dl,12,25,159,162
seq,t2.pc,6,9,159,162
seq,t3.pc,6,0,160,163
seq,t0.dl,12,68,161,164
seq,t0.pc,6,4,161,164
seq,t1.acc,8,40,118,165
seq,t1.cnt,12,5,118,165
seq,t1.pc,6,5,162,165
seq,t2.dl,12,24,163,166
seq,t2.pc,6,9,163,166
seq,t3.pc,6,0,164,167
seq,t0.dl,12,67,165,168
seq,t0.pc,6,4,165,168
seq,t1.dl,12,0,150,153
seq,t1.pc,6,6,166,169
seq,t2.dl,12,23,167,170
seq,t2.pc,6,9,167,170
seq,t3.pc,6,0,168,171
seq,t0.dl,12,66,169,172
seq,t0.pc,6,4,169,172
seq,t1.dl,12,1,170,173
seq,t1.pc,6,7,170,173
seq,t2.dl,12,22,171,174
seq,t2.pc,6,9,171,174
seq,t3.pc,6,0,172,175
seq,t0.dl,12,65,173,176
seq,t0.pc,6,4,173,176
seq,t1.pc,6,7,174,177
seq,t2.dl,12,21,175,178
seq,t2.pc,6,9,175,178
seq,t3.pc,6,0,176,179
seq,t0.dl,12,64,177,180
seq,t0.pc,6,4,177,180
seq,t1.pc,6,8,178,181
seq,t2.dl,12,20,179,182
seq,t2.pc,6,9,179,182
