kernel,loc,width,value,t_def,t_last
vfir2,L40.w0,32,4106135923,128653,131822
vfir2,L40.w1,32,3707026329,128693,131862
vfir2,L40.w2,32,4070888059,128733,131902
vfir2,L40.w3,32,3646664648,128773,131942
vfir2,L40.w4,32,242886303,128813,131982
vfir2,L40.w5,32,393353683,128853,132022
vfir2,L40.w6,32,364522461,128893,132062
vfir2,L40.w7,32,1550730039,128933,132102
vfir2,L40.w8,32,3588440356,128973,132142
vfir2,L40.w9,32,726208580,129013,132182
vfir2,L40.w10,32,3160967032,129053,132222
vfir2,L40.w11,32,3474465535,129093,132262
vfir2,L40.w12,32,2876470159,129133,132302
vfir2,L40.w13,32,3667190760,129173,132342
vfir2,L40.w14,32,1323436024,129213,132382
vfir2,L40.w15,32,1080542040,129253,132422
vfir2,L40.w16,32,2602510382,129293,132462
vfir2,L40.w17,32,911472861,129333,132502
vfir2,L40.w18,32,2606193617,129373,132542
vfir2,L40.w19,32,153478260,129413,132582
vfir2,L40.w20,32,2496252240,129453,132622
vfir2,L40.w21,32,2925930101,129493,132662
vfir2,L40.w22,32,680249217,129533,132702
vfir2,L40.w23,32,4293759541,129573,132742
vfir2,L40.w24,32,1849712019,129613,132782
vfir2,L40.w25,32,2742213519,129653,132822
vfir2,L40.w26,32,1690206281,129693,132862
vfir2,L40.w27,32,3451733971,129733,132902
vfir2,L40.w28,32,3105313242,129773,132942
vfir2,L40.w29,32,3694720281,129813,132982
vfir2,L40.w30,32,4272717495,129853,133022
vfir2,L40.w31,32,2186428038,129893,133062
vfir2,L40.w32,32,4077622522,129933,133102
vfir2,L40.w33,32,1597986795,129973,133142
vfir2,L40.w34,32,2337222593,130013,133182
vfir2,L40.w35,32,4018851090,130053,133222
vfir2,L40.w36,32,1910634194,130093,133262
vfir2,L40.w37,32,2156362607,130133,133302
vfir2,L40.w38,32,1152085198,130173,133342
vfir2,L40.w39,32,3870658023,130213,133382
vfir2,L40.w40,32,154293798,130253,133422
vfir2,L40.w41,32,3741058122,130293,133462
vfir2,L40.w42,32,117874757,130333,133502
vfir2,L40.w43,32,1563430073,130373,133542
vfir2,L40.w44,32,1996703904,130413,133582
vfir2,L40.w45,32,4002250473,130453,133622
vfir2,L40.w46,32,1367797298,130493,133662
vfir2,L40.w47,32,3898757035,130533,133702
vfir2,L40.w48,32,1632151663,130573,133742
vfir2,L40.w49,32,1819395238,130613,133782
vfir2,L40.w50,32,3830206549,130653,133822
vfir2,L40.w51,32,3797028403,130693,133862
vfir2,L40.w52,32,2258090960,130733,133902
vfir2,L40.w53,32,706472397,130773,133942
vfir2,L40.w54,32,2407373688,130813,133982
vfir2,L40.w55,32,762083711,130853,134022
vfir2,L40.w56,32,1014142328,130893,134062
vfir2,L40.w57,32,990430947,130933,134102
vfir2,L40.w58,32,102469680,130973,134142
vfir2,L40.w59,32,759006542,131013,134182
vfir2,L40.w60,32,1396478261,131053,134222
vfir2,L40.w61,32,745558046,131093,134262
vfir2,L40.w62,32,587110818,131133,134302
vfir2,L40.w63,32,2191149268,131173,134342
vfir2,L41.w0,32,2191394736,131853,135022
vfir2,L41.w1,32,1544862794,131893,135062
