report                     area um2  cells  flops  flop um2
cdr                            3881    300     23      1130
crc16x1                        3387    200     32      1570
crc32x1                        7127    457     64      3140
crc32x8                       20902   1934     64      3140
linecode                        477     33      4       196
pe16                           6586    356     56      2740
pin_nco                        6678    475     48      2350
stuff                           813     53      7       343
upe_full                      16332   1180    100      4899
upe_full_no_gate              16319   1177    100      4899
upe_full_no_gf2               13266    865    100      4899
upe_full_no_lanes             16065   1191     98      4800
upe_full_no_logic             15619   1132    100      4899
upe_full_no_lut               16091   1143    100      4899
upe_full_no_pop               14534   1034    100      4899
upe_full_no_shift             16147   1209    100      4899
upe_full_no_win               15494   1085    100      4899
upe_none                      11118    649     98      4800
upe_v0                        14312    985    100      4899
upe_v0_no_bitsel              14066    983    100      4899
upe_v0_no_gf2                 13197    887    100      4899
upe_v0_no_lanes               13913    945     98      4800
upe_v0_no_win                 13349    910    100      4899
xbar16k2                      62818   5770     56      2740
xbar16k4                      31570   2867     40      1960
xbar16k8                      18226   1568     32      1570
xbarlean16k2                  21472   1713     38      1860
xbarlean16k4                  11090    890     22      1080
xbarlean16k8                   5312    457     14       686
