event             uniform    arith   maxmin    logic     gsrc   window      gf2     pair   stream     lane segments   chains
bit_test             2581     4839     3128     3708     4427     1167     4947      628     2540     1785     2503     3381
carry_in             5182     6308     1981     1064     7862     4849     1030      602     2100     8548     5057     4567
cond_hold           10292    10502    10628    12775    14981    17158     4265     3353     5846     5158    10586     8381
crc_feedback         1321     1650     3484     2996     1541      629     5639     5388     1200      664     1207     2054
crc_pairlo           5286     4479     8218     6610     5270     3002     9790    11823     2111     1728     5189     4514
deleted              2633     2551     4115     3568     3372     2025     3521     3370     3400     1977     1349     3162
feed_valid            363      363      384      380      338      372      380      380      613      385      220      418
fixed                9968    10009    11060    11999    12663    11027    11999    11999    10185     8957     4678    11508
follow_step         16921    20567    20345    14898    15852    16751    20104    29426    12006    19426    16714    26851
g_from_F             4761     3987     5304     1610     3405      499      801     1091     1307     1049     4437     3056
g_in                 3513     3437     4193     5322     3520      574     6467    10686     1896     5931     3177     3193
gated_off            8560     9475     6604     5938    12689    13483    27820    21628     5262    10152     8807     8095
join                 2749     4245     4040     2636     3537     4411     2636     2636     5020     4168     8395     2927
lane_carry_out       8615    10943     9917     5054     7503     6809     3731     2805     2510     8911     8150     5837
logic               27290    12740    14556    47649    26768    29563    59323    53267    14053    17475    26629    25203
loop                 7812     4486     5157     5067     5603     5318     5067     5067     6008     5030    10275     5041
maxmin_swap          7319     4880     7790     3935     2362     5833     4786     3175     4416     6605     7237     5434
merge                  13        2        5      118       17     1193       13        5      102       14       14       52
negated_by_g         7866     6370    12248     6307    13789     2907     3378     4114     4128     8260     7738     8128
s15_xor_lane        10796    11281     8471     8262     9359     2403    12338     1374     4614    32128    10742     7719
saturated            1165     3144     1556      499     2553     2293      266      366     1273     6036     1130     2779
shift_in_one        19511    11867     7864    14464    13473     6630    28556    26493     8354    15949    19260    13973
window_hit             73      367       49      462      165     1214      268       44      325      140       40      145
wrap_carry           5289     8365     1633      677     6675     3072     1513      771     1415     9475     4765     3371
zero_flag            4143     1462     2332    14691     3013     1322     3840     1777     1399      726     4039     2285
